name,title,seller,trade_url,condition,ship_fee,size,sold_price,sold_date
Jordan 1 Retro High Pollen,NIKE Air Jordan 1 Retro OG High Pollen mens 11.5 DS NEW 555088 701,duffy06040,https://www.ebay.com/itm/154580386685?epid=6043564723&hash=item23fdb5837d:g:eh4AAOSwoalhIvYC,New with box,$9.55,11.5,223.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Nike Air Jordan 1 High Retro OG Pollen/White/Black Mens Size 13,jjc1978,https://www.ebay.com/itm/265279993955?epid=27043546750&hash=item3dc3eb7863:g:W~wAAOSwVj9hIod3,New with box,FREE,13,279.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Nike Air Jordan 1 Retro High Pollen (Size 9) [IN HAND / FAST SHIP / AUTHENTIC],outlet_finds,https://www.ebay.com/itm/234163790796?epid=14043551524&hash=item36853fe3cc:g:AwcAAOSwOX5hK8~~,New with box,FREE,9,230.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 11 - Jordan 1 High Retro OG Pollen,alvau3866,https://www.ebay.com/itm/403096014381?epid=27043546792&hash=item5dda650e2d:g:Qe4AAOSwYz1hIpqf,New with box,$9.05,11,215.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"NEW! Nike Air Jordan 1 High Retro OG ""Pollen"" Mens Size 10.5",kmikhai,https://www.ebay.com/itm/114947360914?epid=23043563324&hash=item1ac3658892:g:M5gAAOSwF7BhIRHB,New with box,$6.50,10.5,230.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 Retro High Pollen Size 11 555088-701 IN HAND SHIPS FAST ,ftwdeals260,https://www.ebay.com/itm/144173209046?epid=27043546792&hash=item21916495d6:g:8TgAAOSw-L5hJriP,New with box,$11.10,11,231.50,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 4.5 - Jordan 1 High Retro OG Pollen,zncsneakerz,https://www.ebay.com/itm/284426286230?epid=17044410837&hash=item423920b496:g:Qe4AAOSwYz1hIpqf,New with box,$20.40,4.5,600.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,AIR JORDAN 1 RETRO HIGH OG POLLEN *CONFIRMED ORDER* FREE SHIPPING,pootietheplug,https://www.ebay.com/itm/124853594044?var=425931830062&hash=item1d11daa7bc:g:BLAAAOSw~uBhF9FF,New with box,FREE,US SHOE SZ: 6Y,152.99,"Aug 21, 2021"
Jordan 1 Retro High Pollen,AIR JORDAN 1 RETRO HIGH OG POLLEN *CONFIRMED ORDER* FREE SHIPPING,pootietheplug,https://www.ebay.com/itm/124853594044?var=425931830062&hash=item1d11daa7bc:g:BLAAAOSw~uBhF9FF,New with box,FREE,US SHOE SZ: 9.5M,252.99,"Aug 14, 2021"
Jordan 1 Retro High Pollen,"Nike Air Jordan 1 High Retro OG ""Pollen"" Mens Size 9 Brand New",rsto9070,https://www.ebay.com/itm/255112871942?epid=14043551524&hash=item3b65e98006:g:cyMAAOSwqK1hKsnr,New with box,FREE,9,228.99,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 Pollen Retro High OG Pollen/White-Black-Size 12 - Ships Today!,trigzzz,https://www.ebay.com/itm/294363592630?epid=17043551181&hash=item44896ff7b6:g:xaMAAOSwz79hKpoW,New with box,FREE,12,270.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 8 - Jordan 1 High Retro OG Pollen (555088-701)Ships Today,2015supli,https://www.ebay.com/itm/154589421457?epid=11043545222&hash=item23fe3f5f91:g:i1YAAOSw3gNhK9VY,New with box,FREE,8,226.99,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 14 - Jordan 1 High Retro OG Pollen,dacar2132,https://www.ebay.com/itm/363523990143?epid=5043560230&hash=item54a3b7e27f:g:1sYAAOSwOlZhK~r5,New with box,$17.57,14,275.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 Retro High Pollen Size 13 Mens,khak.b.bvr5i7bu7m,https://www.ebay.com/itm/203580196812?hash=item2f665347cc:g:N14AAOSw2QVhJit8,New with box,$14.20,13,250.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"Air Jordan 1 High OG ""Pollen"" - (GS Size 6.5) - BRAND NEW / DEADSTOCK!",will.breen,https://www.ebay.com/itm/265278832826?hash=item3dc3d9c0ba:g:FfUAAOSwka9hITtw,New with box,$11.10,6.5,160.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"Size 10 - Air Jordan 1 Retro High OG Pollen (2021) | Brand New, Ships ASAP",cau_kicks,https://www.ebay.com/itm/403114229967?epid=25043542489&hash=item5ddb7b00cf:g:4vMAAOSwzwFhK5Gk,New with box,$9.55,10,230.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Jordan 1 High Retro OG Pollen Size 9.5,adros-28,https://www.ebay.com/itm/294345272663?epid=6043564739&hash=item4488586d57:g:6eEAAOSwoGphHolQ,New with box,$9.55,9.5,225.00,"Aug 29, 2021"
