url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/adidas-nmd-hu-pharrell-nerd-chalk-white,adidas NMD HU Pharrell NERD Chalk White,80,ADI-ADNHPNCCG,/images/sneakers/adidas/nmd/ADI-ADNHPNCCG.jpg,07/06/2021,$220,GW0246,CHALK WHITE/GLOW ORANGE-CLEAR MINT,431,4.5%,$264
https://stockx.com/adidas-nmd-hu-pharrell-extra-eye-white,adidas NMD Hu Pharrell Extra Eye White,41,ADI-ADNHPEECC,/images/sneakers/adidas/nmd/ADI-ADNHPEECC.jpg,09/19/2020,$220,GY0092,CLOUD WHITE/CORE BLACK/CLOUD WHITE,2802,-0.5%,$196
https://stockx.com/adidas-nmd-hu-pharrell-orange,adidas NMD HU Pharrell Orange,28,ADI-ADNHPOOB,/images/sneakers/adidas/nmd/ADI-ADNHPOOB.jpg,06/12/2021,$220,GY0095,ORANGE/BRIGHT ORANGE/CORE BLACK,639,4.5%,$206
https://stockx.com/adidas-nmd-r1-black-gum-2018,adidas NMD R1 Black Gum,27,AD-NMD-R1BKG18,/images/sneakers/adidas/nmd/AD-NMD-R1BKG18.jpg,06/01/2018,$130,B42200,CORE BLACK/CORE BLACK/GUM,1843,-33.1%,$89
https://stockx.com/adidas-nmd-hu-pharrell-black,adidas NMD Hu Pharrell Black,27,ADI-ADNHPBCC,/images/sneakers/adidas/nmd/ADI-ADNHPBCC.jpg,11/19/2020,$220,GY0093,CORE BLACK/CORE BLACK/CORE BLACK,5200,6.8%,$256
https://stockx.com/adidas-nmd-r1-oreo,adidas NMD R1 Oreo,26,ADI-ADNROCF,/images/sneakers/adidas/nmd/ADI-ADNROCF.jpg,06/22/2020,$130,FV8729,CORE BLACK/FOOTWEAR WHITE/FOOTWEAR WHITE,1196,-25.4%,$121
https://stockx.com/adidas-nmd-r1-white-gum-2018,adidas NMD R1 White Gum (2018),23,AD-NMDR1WTG18,/images/sneakers/adidas/nmd/AD-NMDR1WTG18.jpg,06/01/2018,$130,D96635,CLOUD WHITE/CLOUD WHITE/GUM,2073,-28.5%,$89
https://stockx.com/adidas-nmd-hu-pharrell-human-race-triple-black-pack,adidas NMD Hu Pharrell Human Race Triple Black Pack,21,ADI-ADNHPHRBB,/images/sneakers/adidas/nmd/ADI-ADNHPHRBB.jpg,02/26/2021,N/A,GX2487,BLACK/BLACK/BLACK,1379,N/A,$241
https://stockx.com/adidas-nmd-r1-triple-black-2019,adidas NMD R1 Triple Black (2019/2020),16,NMD1-TB19,/images/sneakers/adidas/nmd/NMD1-TB19.jpg,12/01/2019,$130,FV9015,CORE BLACK/CORE BLACK/CORE BLACK,2321,-4.6%,$104
https://stockx.com/adidas-nmd-hu-pharrell-pink,adidas NMD Hu Pharrell Pink,15,ADI-ADNHPPPP,/images/sneakers/adidas/nmd/ADI-ADNHPPPP.jpg,11/20/2020,$220,GY0088,PINK/PINK/CORE BLACK,1493,9.1%,$236
