url,name,sales_last_72,ticker,image_path,release_date,retail_price,style_code,colorway,number_of_sales,price_premium,average_sale_price
https://stockx.com/adidas-ultra-boost-40-dna-white,adidas Ultra Boost 4.0 DNA White,181,ADI-ADUB4DW,/images/sneakers/adidas/ultra-boost/ADI-ADUB4DW.jpg,N/A,$200,FY9120,CLOUD WHITE/CLOUD WHITE/CORE BLACK,3580,-33.0%,$117
https://stockx.com/adidas-ultra-boost-dna-40-core-black,adidas Ultra Boost DNA 4.0 Core Black,85,ADI-ADUBD4CCC,/images/sneakers/adidas/ultra-boost/ADI-ADUBD4CCC.jpg,N/A,$180,FY9318,CORE BLACK/CORE BLACK/CLOUD WHITE,1106,-38.3%,$113
https://stockx.com/adidas-ultra-boost-40-dna-triple-black,adidas Ultra Boost 4.0 DNA Triple Black,70,ADI-ADUB4DTCC,/images/sneakers/adidas/ultra-boost/ADI-ADUB4DTCC.jpg,N/A,$200,FY9121,CORE BLACK/CORE BLACK/ACTIVE RED,2665,-60.0%,$121
https://stockx.com/adidas-ultra-boost-dna-lego-multi,adidas Ultra Boost DNA LEGO Multi,54,ADI-ADUBDLMCR,/images/sneakers/adidas/ultra-boost/ADI-ADUBDLMCR.jpg,06/16/2021,$200,FZ3983,CLOUD WHITE/RED/SHOCK BLUE,173,-14.0%,$148
https://stockx.com/adidas-ultra-boost-2021-triple-black,adidas Ultra Boost 2021 Triple Black,51,ADI-ADUB2TBCC,/images/sneakers/adidas/ultra-boost/ADI-ADUB2TBCC.jpg,02/04/2020,$180,FY0306,CORE BLACK/CORE BLACK/CORE BLACK,2415,-47.9%,$113
https://stockx.com/adidas-ultra-boost-40-dna-grey-three,adidas Ultra Boost 4.0 DNA Grey Three,48,ADI-ADUB4DGGG,/images/sneakers/adidas/ultra-boost/ADI-ADUB4DGGG.jpg,N/A,$180,FY9319,GREY THREE/GREY THREE/CORE BLACK,1489,-35.0%,$107
https://stockx.com/adidas-ultra-boost-2021-triple-white,adidas Ultra Boost 2021 Triple White,33,ADI-ADUB2TWWF,/images/sneakers/adidas/ultra-boost/ADI-ADUB2TWWF.jpg,02/04/2021,$180,FY0379,WHITE/FOOTWEAR WHITE/GREY THREE,2077,-36.7%,$109
https://stockx.com/adidas-ultra-boost-triple-white,adidas Ultra Boost 2.0 Triple White,29,ADIULBST-TRIWHT,/images/sneakers/adidas/ultra-boost/ADIULBST-TRIWHT.jpg,04/29/2016,$180,AQ5929,WHITE/WHITE/WHITE,2223,-22.2%,$143
https://stockx.com/adidas-ultra-boost-dna-50-zebra,adidas Ultra Boost DNA 5.0 Zebra,28,ADI-ADUBD5ZCC,/images/sneakers/adidas/ultra-boost/ADI-ADUBD5ZCC.jpg,N/A,$180,G54960,CLOUD WHITE/CORE BLACK,195,-11.7%,$154
https://stockx.com/adidas-ultra-boost-20-triple-black,adidas Ultra Boost 20 Triple Black,27,UB20-TB,/images/sneakers/adidas/ultra-boost/UB20-TB.jpg,12/06/2019,$180,EG0691,CORE BLACK/GREY FOUR/SOLAR RED,3750,-19.4%,$107
