name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, June 28, 2021",7:20 PM EST,8.5K,$323
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, June 17, 2021",10:27 AM EST,8K,$325
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, June 14, 2021",7:14 PM EST,6.5K,$321
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, June 10, 2021",3:08 PM EST,4K,$285
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, June 5, 2021",12:57 PM EST,10K,$223
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, May 31, 2021",10:06 PM EST,10K,$277
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, May 31, 2021",9:36 AM EST,10K,$310
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, May 31, 2021",9:34 AM EST,10K,$308
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, May 30, 2021",9:23 AM EST,9K,$323
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, May 17, 2021",9:47 PM EST,10K,$222
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, May 16, 2021",10:59 PM EST,8K,$231
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, May 13, 2021",10:06 PM EST,5K,$296
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Wednesday, May 12, 2021",11:00 PM EST,8K,$249
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Wednesday, May 12, 2021",12:57 PM EST,7K,$250
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, May 9, 2021",6:22 AM EST,8K,$328
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, May 9, 2021",5:29 AM EST,8K,$325
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, May 9, 2021",4:53 AM EST,9.5K,$492
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, May 3, 2021",5:51 AM EST,10K,$240
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Friday, April 30, 2021",2:44 PM EST,8K,$252
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Friday, April 23, 2021",4:41 PM EST,9K,$242
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Friday, April 23, 2021",2:20 PM EST,8K,$245
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, April 19, 2021",7:38 PM EST,8K,$255
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, April 18, 2021",2:12 PM EST,9K,$364
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, April 17, 2021",9:10 PM EST,4K,$280
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, April 17, 2021",2:15 PM EST,6.5K,$378
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, April 15, 2021",11:25 PM EST,10K,$220
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Tuesday, April 13, 2021",9:09 PM EST,10K,$247
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, April 10, 2021",3:22 PM EST,8K,$250
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, April 10, 2021",6:37 AM EST,4K,$220
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, April 10, 2021",6:36 AM EST,8K,$255
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Friday, April 2, 2021",3:40 PM EST,10K,$240
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, April 1, 2021",7:38 PM EST,8K,$230
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Tuesday, March 30, 2021",4:35 PM EST,5.5K,$271
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, March 29, 2021",5:48 AM EST,4K,$298
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, March 27, 2021",7:17 AM EST,8.5K,$252
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, March 27, 2021",7:17 AM EST,8K,$251
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, March 27, 2021",7:16 AM EST,8.5K,$252
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, March 27, 2021",7:16 AM EST,8K,$250
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, March 27, 2021",7:15 AM EST,5K,$240
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, March 27, 2021",7:14 AM EST,5.5K,$240
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Friday, March 26, 2021",10:18 AM EST,10K,$269
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, March 25, 2021",6:14 PM EST,10K,$145
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, March 25, 2021",5:14 PM EST,4K,$323
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Tuesday, March 23, 2021",7:05 PM EST,7K,$290
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, March 22, 2021",8:41 AM EST,9K,$271
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Saturday, March 20, 2021",9:38 AM EST,10K,$210
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, March 18, 2021",10:42 AM EST,10K,$278
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, March 18, 2021",10:41 AM EST,10K,$277
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Wednesday, March 17, 2021",10:58 AM EST,6.5K,$380
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, March 14, 2021",8:42 PM EST,9K,$200
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Friday, March 12, 2021",3:13 PM EST,5K,$195
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Thursday, March 11, 2021",3:56 AM EST,6.5K,$372
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Monday, March 8, 2021",6:05 PM EST,9K,$240
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Sunday, February 28, 2021",4:53 AM EST,9K,$240
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Wednesday, February 24, 2021",10:31 AM EST,7K,$289
adidas Yeezy Boost 350 V2 Citrin (Infant),350V2-CTRNI,"Tuesday, February 23, 2021",4:40 AM EST,8K,$267
