name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, June 29, 2021",11:01 PM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Sunday, June 27, 2021",3:52 PM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Thursday, June 24, 2021",7:33 PM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Saturday, June 12, 2021",7:47 PM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Saturday, June 12, 2021",6:13 AM EST,11K,$319
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, June 8, 2021",6:16 AM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Monday, June 7, 2021",3:05 PM EST,1,$237
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Monday, June 7, 2021",9:06 AM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Saturday, June 5, 2021",2:27 AM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Wednesday, May 12, 2021",1:04 PM EST,3,$398
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Monday, May 10, 2021",7:30 PM EST,11K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Monday, May 10, 2021",6:10 PM EST,2.5,$517
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Saturday, May 8, 2021",9:43 PM EST,2,$400
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, May 4, 2021",1:05 AM EST,13K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Monday, May 3, 2021",2:15 AM EST,1.5,$415
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Friday, April 30, 2021",2:25 PM EST,12K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Thursday, April 29, 2021",10:24 PM EST,13K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Wednesday, April 28, 2021",11:46 PM EST,2,$439
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Wednesday, April 28, 2021",10:26 PM EST,2.5,$470
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, April 27, 2021",5:30 PM EST,13K,$202
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, April 27, 2021",5:29 PM EST,11K,$200
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Monday, April 26, 2021",6:08 PM EST,13K,$206
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Monday, April 26, 2021",3:41 PM EST,11K,$200
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Sunday, April 25, 2021",6:00 AM EST,12K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Friday, April 23, 2021",9:56 PM EST,13K,$208
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Friday, April 23, 2021",9:05 PM EST,12K,$217
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Friday, April 23, 2021",2:19 PM EST,12K,$211
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Friday, April 23, 2021",2:19 PM EST,13K,$215
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Friday, April 23, 2021",2:19 PM EST,12K,$215
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Friday, April 23, 2021",2:18 PM EST,13K,$220
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Thursday, April 22, 2021",12:56 AM EST,13K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Thursday, April 22, 2021",11:33 AM EST,12K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Wednesday, April 21, 2021",4:33 PM EST,12K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Wednesday, April 21, 2021",4:33 PM EST,13K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Wednesday, April 21, 2021",12:55 PM EST,13K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Wednesday, April 21, 2021",12:23 PM EST,12K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, April 20, 2021",10:17 PM EST,13K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, April 20, 2021",5:25 PM EST,12K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, April 20, 2021",5:24 PM EST,13K,$230
adidas Yeezy Boost 350 V2 Citrin (Kids),350V2-CTRNK,"Tuesday, April 20, 2021",1:41 PM EST,12K,$220
