name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Thursday, July 1, 2021",9:29 AM EST,10K,$230
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Wednesday, June 16, 2021",11:08 PM EST,6K,$485
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Monday, June 14, 2021",7:37 PM EST,8.5K,$270
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Saturday, June 12, 2021",10:38 AM EST,7.5K,$300
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Saturday, June 5, 2021",12:09 PM EST,9K,$290
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Wednesday, June 2, 2021",6:07 PM EST,6.5K,$177
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Monday, May 31, 2021",4:20 PM EST,8K,$309
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Monday, May 31, 2021",8:07 AM EST,9K,$378
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Sunday, May 30, 2021",10:53 PM EST,9K,$289
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Wednesday, May 19, 2021",5:18 PM EST,8.5K,$248
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, May 14, 2021",5:41 PM EST,9K,$199
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Thursday, May 13, 2021",4:16 PM EST,7.5K,$200
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Sunday, May 9, 2021",4:07 PM EST,10K,$250
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, May 7, 2021",5:45 PM EST,8K,$305
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Tuesday, May 4, 2021",8:38 PM EST,6.5K,$239
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Tuesday, May 4, 2021",1:58 PM EST,6.5K,$250
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Monday, May 3, 2021",12:27 AM EST,5K,$265
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 30, 2021",9:42 AM EST,9K,$253
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Tuesday, April 27, 2021",5:29 PM EST,8.5K,$206
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Tuesday, April 27, 2021",5:28 PM EST,8K,$200
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Saturday, April 24, 2021",5:57 AM EST,9K,$289
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Saturday, April 24, 2021",5:57 AM EST,8K,$290
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Saturday, April 24, 2021",5:56 AM EST,6K,$290
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Saturday, April 24, 2021",5:55 AM EST,5.5K,$278
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Saturday, April 24, 2021",5:55 AM EST,7.5K,$290
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 23, 2021",6:38 PM EST,9K,$219
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 23, 2021",4:40 PM EST,8.5K,$290
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 23, 2021",2:26 PM EST,9K,$200
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 23, 2021",2:26 PM EST,8.5K,$200
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 23, 2021",2:24 PM EST,7K,$220
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 23, 2021",2:24 PM EST,7.5K,$240
adidas Yeezy Boost 350 V2 Cloud White (Infant),350V2-CWI,"Friday, April 23, 2021",2:23 PM EST,8.5K,$220
