name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Monday, July 5, 2021",3:09 PM EST,13.5K,$248
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Wednesday, June 30, 2021",9:29 PM EST,3.5,$511
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Tuesday, June 22, 2021",9:42 PM EST,1,$383
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Wednesday, June 16, 2021",5:50 AM EST,13K,$417
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Monday, June 14, 2021",3:30 PM EST,3,$575
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Sunday, June 6, 2021",11:22 AM EST,3.5,$519
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Monday, May 31, 2021",4:32 PM EST,11K,$325
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Tuesday, May 25, 2021",2:05 PM EST,13K,$422
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Thursday, May 13, 2021",3:14 PM EST,12K,$260
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Thursday, May 6, 2021",2:54 PM EST,10.5K,$208
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Wednesday, May 5, 2021",3:13 PM EST,13.5K,$328
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Wednesday, May 5, 2021",2:04 AM EST,3,$546
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Thursday, April 29, 2021",8:56 AM EST,10.5K,$587
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Tuesday, April 27, 2021",3:16 PM EST,12.5K,$256
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Sunday, April 18, 2021",1:52 PM EST,12K,$264
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Monday, April 12, 2021",2:20 PM EST,1,$266
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Thursday, April 8, 2021",12:30 PM EST,13.5K,$299
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Thursday, April 1, 2021",2:21 PM EST,2,$300
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Wednesday, March 31, 2021",5:09 PM EST,2.5,$455
adidas Yeezy Boost 350 V2 Cloud White (Kids),350V2-CWK,"Tuesday, March 30, 2021",3:04 PM EST,11.5K,$470
