name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, July 6, 2021",4:27 PM EST,10,$360
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, July 6, 2021",2:54 PM EST,4.5,$701
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, July 6, 2021",2:10 PM EST,13,$311
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, July 6, 2021",11:36 AM EST,12,$260
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Monday, July 5, 2021",11:13 PM EST,11,$357
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Monday, July 5, 2021",7:28 PM EST,9,$442
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Monday, July 5, 2021",4:16 PM EST,9,$423
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Sunday, July 4, 2021",6:47 PM EST,5,$671
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Sunday, July 4, 2021",5:54 PM EST,12,$320
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Sunday, July 4, 2021",5:33 PM EST,12,$305
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Sunday, July 4, 2021",5:19 PM EST,8.5,$487
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Sunday, July 4, 2021",3:40 AM EST,11.5,$395
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Saturday, July 3, 2021",7:54 PM EST,13,$349
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Friday, July 2, 2021",2:13 PM EST,11,$335
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Friday, July 2, 2021",12:44 PM EST,10,$362
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Friday, July 2, 2021",11:16 AM EST,10,$362
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Friday, July 2, 2021",9:55 AM EST,5.5,$700
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Friday, July 2, 2021",9:22 AM EST,11,$335
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Thursday, July 1, 2021",2:59 AM EST,10,$380
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Thursday, July 1, 2021",1:09 AM EST,8,$487
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Wednesday, June 30, 2021",3:00 PM EST,9.5,$447
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Wednesday, June 30, 2021",12:17 PM EST,7,$580
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Wednesday, June 30, 2021",11:40 AM EST,13,$300
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, June 29, 2021",7:17 PM EST,11.5,$329
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, June 29, 2021",6:50 PM EST,7,$528
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, June 29, 2021",5:29 PM EST,12,$337
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Tuesday, June 29, 2021",2:08 AM EST,10.5,$365
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Monday, June 28, 2021",9:20 PM EST,11,$340
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Monday, June 28, 2021",12:37 PM EST,12.5,$355
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Sunday, June 27, 2021",2:38 PM EST,9,$444
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Saturday, June 26, 2021",10:24 AM EST,8.5,$510
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Saturday, June 26, 2021",4:04 AM EST,12.5,$355
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Friday, June 25, 2021",10:01 PM EST,5,$659
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Friday, June 25, 2021",6:03 AM EST,10,$362
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Thursday, June 24, 2021",4:58 PM EST,5.5,$698
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Thursday, June 24, 2021",8:37 AM EST,10.5,$359
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Thursday, June 24, 2021",4:45 AM EST,9.5,$449
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Wednesday, June 23, 2021",10:14 PM EST,8,$488
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Wednesday, June 23, 2021",4:25 PM EST,10,$380
adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),350V2-LM,"Wednesday, June 23, 2021",12:15 PM EST,11,$360
