name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Tuesday, June 29, 2021",5:25 PM EST,12,$450
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Friday, June 25, 2021",10:12 PM EST,4,$712
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Friday, June 25, 2021",9:50 AM EST,12,$380
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Thursday, June 24, 2021",10:07 PM EST,4,$711
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Tuesday, June 22, 2021",8:45 AM EST,5.5,$687
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Friday, June 18, 2021",6:20 AM EST,7,$680
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Wednesday, June 16, 2021",12:58 PM EST,8,$612
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Tuesday, June 15, 2021",4:56 PM EST,6,$621
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Monday, June 14, 2021",9:34 AM EST,8,$623
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Thursday, June 10, 2021",12:12 PM EST,9,$534
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Monday, June 7, 2021",2:14 PM EST,9,$550
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Monday, June 7, 2021",2:13 PM EST,9,$550
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Friday, June 4, 2021",9:10 PM EST,9.5,$541
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Friday, June 4, 2021",9:09 PM EST,9,$560
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Friday, June 4, 2021",9:07 PM EST,9,$562
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Thursday, June 3, 2021",4:03 PM EST,5.5,$699
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Thursday, June 3, 2021",3:55 PM EST,7,$648
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Wednesday, June 2, 2021",4:09 PM EST,8.5,$596
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Wednesday, June 2, 2021",4:05 PM EST,9,$569
adidas Yeezy Boost 350 V2 Lundmark (Reflective),350V2-LMR,"Wednesday, June 2, 2021",4:04 PM EST,9,$570
