name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Sunday, June 27, 2021",7:08 PM EST,7K,$275
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Thursday, April 29, 2021",2:43 AM EST,10K,$225
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Wednesday, April 21, 2021",4:55 AM EST,9K,$296
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Sunday, April 18, 2021",10:48 AM EST,7K,$200
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Thursday, April 15, 2021",11:55 AM EST,9K,$220
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Wednesday, April 14, 2021",1:22 AM EST,9K,$235
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Tuesday, April 6, 2021",12:23 PM EST,6K,$350
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, April 5, 2021",11:49 PM EST,8K,$151
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Thursday, April 1, 2021",7:44 PM EST,9K,$144
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Thursday, April 1, 2021",7:41 PM EST,10K,$230
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, March 29, 2021",7:21 PM EST,5K,$113
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, March 29, 2021",7:16 PM EST,9K,$150
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Saturday, March 27, 2021",7:24 AM EST,10K,$228
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Saturday, March 27, 2021",7:24 AM EST,10K,$227
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Saturday, March 27, 2021",7:23 AM EST,9K,$216
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Friday, March 26, 2021",1:40 PM EST,8K,$150
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Thursday, March 25, 2021",6:09 PM EST,6K,$249
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Tuesday, March 23, 2021",5:36 PM EST,9K,$200
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, March 22, 2021",7:24 PM EST,9K,$215
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, March 22, 2021",5:03 PM EST,10K,$210
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, March 22, 2021",5:01 PM EST,6K,$250
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, March 22, 2021",3:12 PM EST,9K,$215
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Sunday, February 28, 2021",9:40 PM EST,10K,$227
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Sunday, February 21, 2021",10:20 AM EST,9K,$151
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Monday, February 15, 2021",9:28 PM EST,5K,$200
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Tuesday, February 9, 2021",6:05 AM EST,9K,$175
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Tuesday, February 9, 2021",4:31 AM EST,10K,$214
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Saturday, February 6, 2021",1:56 AM EST,7K,$199
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Wednesday, January 20, 2021",2:35 AM EST,7K,$202
adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,"Thursday, January 14, 2021",3:49 PM EST,8K,$191
