name,ticker,date,time,size,price
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Monday, May 10, 2021",9:06 PM EST,11,$215
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Sunday, March 28, 2021",9:54 AM EST,11,$210
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Wednesday, December 23, 2020",11:59 PM EST,10,$375
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Sunday, December 20, 2020",9:50 PM EST,10,$350
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Wednesday, December 16, 2020",2:12 AM EST,9,$300
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Tuesday, January 14, 2020",5:39 PM EST,10,$368
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Friday, August 2, 2019",11:05 AM EST,12,$200
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Tuesday, July 16, 2019",5:59 PM EST,7,$401
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Saturday, July 6, 2019",10:02 PM EST,7,$300
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Monday, December 17, 2018",3:09 PM EST,10,$450
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Wednesday, December 12, 2018",1:35 AM EST,10,$401
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Friday, November 16, 2018",8:51 PM EST,10,$350
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Wednesday, September 12, 2018",6:26 AM EST,9,$397
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Thursday, August 9, 2018",1:45 PM EST,12,$350
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Tuesday, July 24, 2018",7:55 PM EST,9,$305
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Wednesday, July 18, 2018",1:24 PM EST,14,$380
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Sunday, July 15, 2018",10:49 PM EST,7,$260
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Sunday, July 15, 2018",1:02 PM EST,10,$400
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Wednesday, July 11, 2018",12:09 AM EST,12,$300
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Tuesday, July 10, 2018",12:59 AM EST,14,$395
adidas Yeezy 500 Shadow Black (Friends & Family),AD-Y500SBKFF,"Tuesday, July 10, 2018",11:00 PM EST,8.5,$450
