name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Monday, July 5, 2021",6:11 PM EST,9,$920
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Sunday, July 4, 2021",7:28 AM EST,7,"$1,106"
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Friday, July 2, 2021",12:32 PM EST,11,$595
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:45 PM EST,10.5,$603
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:39 PM EST,12,$749
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",3:51 PM EST,11,$629
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",3:50 PM EST,11,$629
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",1:15 PM EST,5.5,"$1,200"
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:52 AM EST,12,$726
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:48 AM EST,11,$720
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:42 AM EST,10.5,$603
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:36 AM EST,10.5,$627
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:35 AM EST,11,$721
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",11:34 AM EST,10.5,$696
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, July 1, 2021",10:44 AM EST,9.5,$779
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Wednesday, June 30, 2021",12:52 AM EST,9.5,$778
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Wednesday, June 30, 2021",11:31 AM EST,8,$803
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Tuesday, June 29, 2021",8:20 PM EST,5,$514
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Monday, June 28, 2021",12:56 AM EST,8,$704
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Sunday, June 27, 2021",9:09 PM EST,12,"$1,119"
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Saturday, June 26, 2021",11:05 PM EST,10,$708
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Friday, June 25, 2021",7:05 AM EST,10,$879
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, June 24, 2021",8:22 PM EST,10.5,$750
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Wednesday, June 23, 2021",11:07 PM EST,8,$741
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Wednesday, June 23, 2021",7:39 PM EST,12,$725
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Wednesday, June 23, 2021",4:05 AM EST,11,$700
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Tuesday, June 22, 2021",1:56 PM EST,9,$892
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Monday, June 21, 2021",5:32 PM EST,4,$631
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Monday, June 21, 2021",4:22 PM EST,9.5,$817
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Sunday, June 20, 2021",1:42 PM EST,8,$700
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Saturday, June 19, 2021",10:19 AM EST,9.5,$865
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Friday, June 18, 2021",4:00 PM EST,5,$501
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Friday, June 18, 2021",11:46 AM EST,10,$717
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Thursday, June 17, 2021",6:24 AM EST,9,$909
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Wednesday, June 16, 2021",8:45 AM EST,8.5,$716
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Tuesday, June 15, 2021",12:15 AM EST,8,$708
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Tuesday, June 15, 2021",12:14 AM EST,8,$709
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Sunday, June 13, 2021",7:18 PM EST,11,"$1,099"
adidas Yeezy Boost 350 V2 Core Black White,AD-YB350V2CBKWT,"Sunday, June 13, 2021",5:56 PM EST,9.5,$844
