name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",5:23 PM EST,7,$405
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",5:10 PM EST,10.5,$424
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",5:07 PM EST,8,$410
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",4:53 PM EST,10.5,$388
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",4:51 PM EST,10.5,$420
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",4:43 PM EST,10.5,$392
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",4:40 PM EST,11,$467
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",4:22 PM EST,7.5,$420
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",4:15 PM EST,11,$433
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",4:06 PM EST,7,$439
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",3:49 PM EST,8,$375
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",3:47 PM EST,12,$431
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",3:40 PM EST,8,$368
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",3:30 PM EST,6,$405
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",3:18 PM EST,8,$395
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",3:17 PM EST,7,$429
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",3:16 PM EST,6.5,$407
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:58 PM EST,10.5,$424
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:36 PM EST,13,$480
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:34 PM EST,8,$396
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:34 PM EST,7,$430
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:28 PM EST,6,$395
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:26 PM EST,7,$440
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:25 PM EST,6.5,$424
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:25 PM EST,6.5,$425
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:23 PM EST,8,$408
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:05 PM EST,6.5,$430
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",2:00 PM EST,12,$449
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",1:51 PM EST,10,$403
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",1:29 PM EST,11,$421
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",1:26 PM EST,12,$435
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",1:08 PM EST,8.5,$424
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",1:02 PM EST,11,$415
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",12:57 PM EST,8,$430
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",12:31 PM EST,10.5,$424
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",12:29 PM EST,5,$409
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",12:13 PM EST,11.5,$445
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",12:08 PM EST,7,$442
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",11:43 AM EST,10,$424
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",11:43 AM EST,5,$379
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",11:27 AM EST,12,$461
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",10:58 AM EST,10.5,$400
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",10:43 AM EST,6.5,$432
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",10:34 AM EST,6.5,$416
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",10:30 AM EST,8,$409
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",10:21 AM EST,7.5,$411
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",10:21 AM EST,9,$401
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",10:08 AM EST,9,$420
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",9:19 AM EST,7.5,$444
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",9:05 AM EST,9.5,$398
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",8:44 AM EST,10.5,$401
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",8:12 AM EST,8.5,$404
adidas Yeezy Boost 350 V2 Black Red (2017/2020),AD-YB350V2CBR,"Tuesday, July 6, 2021",8:12 AM EST,9.5,$419
