name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Monday, July 5, 2021",10:10 PM EST,11,$532
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Saturday, July 3, 2021",6:49 PM EST,13,$401
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, July 2, 2021",10:22 PM EST,7,$750
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, July 2, 2021",3:44 PM EST,8.5,$737
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, July 2, 2021",1:55 PM EST,9,$640
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, July 2, 2021",11:53 AM EST,4.5,$939
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, July 1, 2021",12:15 PM EST,14.5,$475
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Wednesday, June 30, 2021",12:07 AM EST,11,$568
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Wednesday, June 30, 2021",6:45 PM EST,6,$837
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Wednesday, June 30, 2021",4:17 AM EST,7.5,$735
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Tuesday, June 29, 2021",10:58 PM EST,5.5,$881
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Tuesday, June 29, 2021",8:16 PM EST,4.5,$875
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Tuesday, June 29, 2021",5:09 PM EST,8.5,$676
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Monday, June 28, 2021",12:08 PM EST,8,$707
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Saturday, June 26, 2021",12:51 PM EST,10,$585
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, June 25, 2021",11:07 AM EST,10,$609
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Wednesday, June 23, 2021",10:20 AM EST,11,$580
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Tuesday, June 22, 2021",12:00 AM EST,11,$579
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Tuesday, June 22, 2021",9:46 PM EST,13.5,$499
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 17, 2021",10:41 PM EST,12,$549
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 17, 2021",5:07 PM EST,11,$552
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 17, 2021",4:39 AM EST,11,$531
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 17, 2021",4:30 AM EST,9,$639
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Wednesday, June 16, 2021",6:42 PM EST,6,$843
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Wednesday, June 16, 2021",11:54 AM EST,7,$746
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Wednesday, June 16, 2021",6:48 AM EST,8.5,$702
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Tuesday, June 15, 2021",8:23 AM EST,8.5,$755
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Tuesday, June 15, 2021",2:49 AM EST,8.5,$676
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Monday, June 14, 2021",12:19 AM EST,5,"$1,050"
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Monday, June 14, 2021",3:58 PM EST,11,$579
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Monday, June 14, 2021",8:14 AM EST,7,$727
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Sunday, June 13, 2021",2:01 PM EST,12,$525
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Sunday, June 13, 2021",11:11 AM EST,8,$707
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Sunday, June 13, 2021",6:57 AM EST,9,$594
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, June 11, 2021",1:41 PM EST,11,$562
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, June 11, 2021",12:56 PM EST,10.5,$567
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Friday, June 11, 2021",12:31 PM EST,10.5,$587
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 10, 2021",3:59 PM EST,10,$610
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 10, 2021",10:47 AM EST,8.5,$683
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 10, 2021",10:33 AM EST,7,$715
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 10, 2021",3:19 AM EST,10,$583
adidas Yeezy Boost 350 V2 Cloud White (Reflective),AD-YB350V2WHR,"Thursday, June 10, 2021",3:16 AM EST,9.5,$660
