name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Saturday, July 3, 2021",9:24 AM EST,10K,$293
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Friday, July 2, 2021",4:09 PM EST,10K,$300
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Sunday, June 27, 2021",8:01 PM EST,9K,$275
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Thursday, June 24, 2021",8:30 AM EST,9K,$230
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Wednesday, June 23, 2021",4:15 PM EST,6K,$270
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Wednesday, June 23, 2021",4:15 PM EST,6K,$253
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Wednesday, June 23, 2021",11:18 AM EST,5K,$324
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Tuesday, June 22, 2021",9:20 PM EST,10K,$171
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Monday, June 21, 2021",6:53 PM EST,9K,$239
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Sunday, June 20, 2021",8:18 PM EST,9.5K,$324
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Saturday, June 19, 2021",12:36 AM EST,9K,$251
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Friday, June 18, 2021",10:52 PM EST,5K,$286
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Friday, June 18, 2021",10:39 PM EST,9K,$271
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Friday, June 18, 2021",3:35 AM EST,7K,$350
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Thursday, June 17, 2021",5:45 PM EST,10K,$303
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Wednesday, June 16, 2021",4:16 PM EST,9K,$260
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Wednesday, June 16, 2021",12:47 PM EST,9.5K,$304
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Monday, June 14, 2021",6:36 PM EST,5K,$300
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Saturday, June 12, 2021",2:02 AM EST,9K,$268
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Thursday, June 10, 2021",3:35 PM EST,8K,$329
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Thursday, June 10, 2021",3:00 AM EST,9K,$220
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Tuesday, June 8, 2021",11:40 PM EST,9K,$265
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Tuesday, June 8, 2021",11:09 PM EST,7K,$305
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Tuesday, June 8, 2021",2:00 PM EST,10K,$143
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Tuesday, June 8, 2021",1:24 PM EST,5K,$215
adidas Yeezy Boost 350 V2 Black Red (Infant),AD-YB350VCBR17I,"Sunday, June 6, 2021",3:42 PM EST,10K,$179
