name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Tuesday, July 6, 2021",8:29 AM EST,5K,$178
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Saturday, July 3, 2021",12:39 AM EST,8K,$280
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Saturday, July 3, 2021",2:02 PM EST,10K,$223
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Friday, July 2, 2021",5:26 AM EST,10K,$219
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Thursday, July 1, 2021",7:06 AM EST,7K,$265
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Wednesday, June 30, 2021",12:13 AM EST,9K,$230
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Sunday, June 27, 2021",6:55 PM EST,10K,$211
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Monday, June 21, 2021",12:35 PM EST,5K,$220
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Sunday, June 20, 2021",8:50 PM EST,10K,$200
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Saturday, June 19, 2021",5:09 AM EST,9K,$223
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Wednesday, June 16, 2021",5:08 PM EST,8K,$284
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Tuesday, June 15, 2021",3:27 AM EST,10K,$203
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Monday, June 14, 2021",7:38 PM EST,10K,$198
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Friday, June 11, 2021",2:02 AM EST,8K,$246
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Thursday, June 10, 2021",11:02 PM EST,9K,$265
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Thursday, June 10, 2021",6:30 AM EST,9K,$284
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Tuesday, June 8, 2021",8:26 AM EST,9K,$249
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Monday, June 7, 2021",9:13 AM EST,8K,$289
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Sunday, June 6, 2021",8:34 PM EST,10K,$200
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Sunday, June 6, 2021",8:33 PM EST,10K,$200
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Thursday, June 3, 2021",9:19 AM EST,5K,$302
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Wednesday, June 2, 2021",3:51 PM EST,7K,$238
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Monday, May 31, 2021",6:45 PM EST,9K,$217
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Monday, May 31, 2021",10:05 AM EST,8K,$256
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Sunday, May 30, 2021",10:13 AM EST,9K,$190
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Saturday, May 29, 2021",6:49 PM EST,9K,$205
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Thursday, May 27, 2021",7:54 PM EST,10K,$200
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Tuesday, May 25, 2021",9:05 PM EST,8K,$210
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Monday, May 24, 2021",1:27 PM EST,10K,$184
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Monday, May 24, 2021",10:11 AM EST,5K,$303
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Sunday, May 23, 2021",12:02 AM EST,8K,$191
adidas Yeezy Boost 350 V2 Cream White (Infant),AD-YB350VCWI,"Sunday, May 23, 2021",11:04 PM EST,9K,$190
