name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",8:53 PM EST,7,$549
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",7:56 PM EST,12,$500
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",6:59 PM EST,10,$331
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",5:55 PM EST,10,$328
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",3:20 PM EST,8,$352
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",3:20 PM EST,8,$351
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",2:11 PM EST,12,$475
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",12:27 PM EST,10,$420
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Tuesday, July 6, 2021",11:55 AM EST,10,$395
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Monday, July 5, 2021",8:33 PM EST,8.5,$355
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Monday, July 5, 2021",6:34 PM EST,11,$410
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Monday, July 5, 2021",5:52 PM EST,8.5,$356
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Monday, July 5, 2021",12:21 PM EST,11.5,$494
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Sunday, July 4, 2021",3:24 PM EST,4.5,$450
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Sunday, July 4, 2021",2:25 PM EST,9.5,$374
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Sunday, July 4, 2021",7:27 AM EST,9,$325
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Sunday, July 4, 2021",3:23 AM EST,13,$620
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Saturday, July 3, 2021",11:21 PM EST,11,$442
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Saturday, July 3, 2021",5:41 PM EST,9.5,$402
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Saturday, July 3, 2021",6:16 AM EST,9,$533
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,AD-YB350VSFY,"Saturday, July 3, 2021",2:54 AM EST,8.5,$413
