name,ticker,date,time,size,price
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Tuesday, July 6, 2021",7:44 PM EST,12K,$177
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Tuesday, July 6, 2021",6:20 PM EST,11K,$179
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Tuesday, July 6, 2021",4:30 PM EST,2Y,$172
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Tuesday, July 6, 2021",4:20 PM EST,2Y,$172
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Tuesday, July 6, 2021",3:46 AM EST,13K,$177
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Monday, July 5, 2021",11:21 PM EST,1.5Y,$180
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Monday, July 5, 2021",6:59 PM EST,13K,$176
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Monday, July 5, 2021",4:46 PM EST,12K,$176
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Monday, July 5, 2021",7:19 AM EST,3Y,$175
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Sunday, July 4, 2021",9:37 AM EST,3Y,$180
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Saturday, July 3, 2021",9:18 PM EST,3.5Y,$262
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Saturday, July 3, 2021",2:43 AM EST,11K,$177
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Friday, July 2, 2021",11:17 PM EST,3.5Y,$262
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Friday, July 2, 2021",10:53 PM EST,2Y,$178
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Friday, July 2, 2021",5:53 PM EST,3Y,$190
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Friday, July 2, 2021",5:50 PM EST,2Y,$177
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Friday, July 2, 2021",2:56 PM EST,2.5Y,$253
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Friday, July 2, 2021",12:41 PM EST,3.5Y,$262
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Friday, July 2, 2021",11:39 AM EST,1Y,$188
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Thursday, July 1, 2021",6:59 PM EST,3Y,$200
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Thursday, July 1, 2021",1:14 PM EST,3Y,$200
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Thursday, July 1, 2021",9:43 AM EST,13K,$207
adidas Yeezy 450 Cloud White (Kids),ADI-ADY4CWCCK,"Wednesday, June 30, 2021",10:35 PM EST,3Y,$199
