name,ticker,date,time,size,price
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:55 PM EST,10,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:49 PM EST,11,$300
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:45 PM EST,7,$313
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:44 PM EST,7,$313
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:43 PM EST,13,$327
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:30 PM EST,10,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:18 PM EST,10.5,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:02 PM EST,7.5,$319
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:00 PM EST,7.5,$318
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:55 PM EST,7,$313
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:50 PM EST,7.5,$317
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:37 PM EST,12,$302
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:34 PM EST,10,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:29 PM EST,7.5,$315
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:22 PM EST,9,$275
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:10 PM EST,10,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:09 PM EST,5,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:08 PM EST,14,$441
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:08 PM EST,9,$278
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:06 PM EST,7.5,$315
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:05 PM EST,7,$311
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:03 PM EST,6,$299
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:01 PM EST,7,$310
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:59 PM EST,8.5,$287
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:53 PM EST,10,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:52 PM EST,8,$300
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:52 PM EST,12,$325
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:35 PM EST,12,$325
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:33 PM EST,9.5,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:32 PM EST,6.5,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:27 PM EST,11,$302
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:20 PM EST,10.5,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:15 PM EST,6,$298
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:13 PM EST,7,$311
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:13 PM EST,8.5,$295
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:09 PM EST,9,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:52 PM EST,7.5,$315
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:38 PM EST,5.5,$300
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:36 PM EST,11.5,$293
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:36 PM EST,10,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:33 PM EST,12,$327
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:33 PM EST,9,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:28 PM EST,11.5,$305
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:27 PM EST,11,$293
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:26 PM EST,8.5,$293
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:25 PM EST,11.5,$297
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:02 PM EST,12,$325
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:01 PM EST,7,$307
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:52 PM EST,6,$297
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:44 PM EST,8.5,$286
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:43 PM EST,10.5,$289
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:40 PM EST,12,$326
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:27 PM EST,8,$300
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:20 PM EST,11.5,$305
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:16 PM EST,9.5,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:14 PM EST,8,$300
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:07 PM EST,9.5,$260
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:04 PM EST,12,$326
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:01 PM EST,7,$307
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",1:00 PM EST,11,$294
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:59 PM EST,9.5,$289
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:58 PM EST,12,$325
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:43 PM EST,6,$298
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:33 PM EST,12,$300
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:32 PM EST,9.5,$281
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:27 PM EST,9.5,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:27 PM EST,9.5,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:13 PM EST,11.5,$304
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:13 PM EST,9.5,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:08 PM EST,7.5,$310
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",12:03 PM EST,8.5,$293
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:52 AM EST,12,$320
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:52 AM EST,13,$327
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:48 AM EST,11,$305
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:42 AM EST,7.5,$303
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:38 AM EST,6.5,$291
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:28 AM EST,9,$284
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:28 AM EST,11,$294
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:20 AM EST,12,$303
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:19 AM EST,9,$283
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:16 AM EST,10.5,$295
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:07 AM EST,12,$302
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",11:00 AM EST,6,$297
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:58 AM EST,5.5,$277
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:57 AM EST,5,$278
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:55 AM EST,7,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:54 AM EST,6,$290
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:52 AM EST,5,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:52 AM EST,5,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:51 AM EST,4,$230
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:50 AM EST,9.5,$284
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:50 AM EST,10,$286
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:49 AM EST,9.5,$275
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:49 AM EST,7,$313
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:49 AM EST,5.5,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:48 AM EST,4,$230
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:42 AM EST,12.5,$313
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:37 AM EST,7.5,$295
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:29 AM EST,9.5,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:26 AM EST,11.5,$301
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:24 AM EST,11.5,$281
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:22 AM EST,9,$288
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:17 AM EST,8.5,$268
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:07 AM EST,11,$306
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",10:06 AM EST,11,$306
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",9:55 AM EST,11,$306
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",9:51 AM EST,5.5,$295
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",9:44 AM EST,10,$290
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",9:28 AM EST,12,$325
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",9:19 AM EST,13,$332
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",9:03 AM EST,8,$269
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",8:47 AM EST,10,$290
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",8:38 AM EST,12,$320
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",8:30 AM EST,11,$305
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",8:13 AM EST,11,$295
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",8:12 AM EST,7.5,$310
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",8:05 AM EST,12,$305
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",8:05 AM EST,11.5,$280
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",7:08 AM EST,6.5,$292
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",7:04 AM EST,8,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",6:58 AM EST,8,$279
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",6:12 AM EST,9,$262
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",6:11 AM EST,9,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",6:00 AM EST,9,$286
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",5:46 AM EST,6.5,$294
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:44 AM EST,11.5,$305
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:30 AM EST,12.5,$305
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",4:16 AM EST,8.5,$285
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:38 AM EST,10,$276
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:30 AM EST,6,$298
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",3:03 AM EST,7,$312
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:59 AM EST,11.5,$297
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:47 AM EST,12,$303
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:43 AM EST,13,$344
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:42 AM EST,13,$335
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:41 AM EST,13,$335
adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,"Tuesday, July 6, 2021",2:40 AM EST,10,$298
