name,ticker,date,time,size,price
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Tuesday, July 6, 2021",5:10 PM EST,7,$310
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Tuesday, July 6, 2021",4:26 PM EST,6.5,$298
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Tuesday, July 6, 2021",4:18 PM EST,5.5,$306
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Tuesday, July 6, 2021",2:54 PM EST,9.5,$251
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Tuesday, July 6, 2021",2:31 PM EST,10,$280
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Tuesday, July 6, 2021",2:10 PM EST,8.5,$268
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Tuesday, July 6, 2021",1:30 PM EST,9.5,$280
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",12:59 AM EST,9.5,$236
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",12:43 AM EST,10,$275
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",11:29 PM EST,8.5,$288
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",10:35 PM EST,9,$270
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",9:19 PM EST,9,$270
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",8:56 PM EST,13,$328
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",8:23 PM EST,11,$265
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",8:10 PM EST,10,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",8:09 PM EST,4.5,$268
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",5:10 PM EST,9,$270
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",3:16 PM EST,7.5,$280
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",2:38 PM EST,11.5,$283
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",1:52 PM EST,7,$290
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",1:03 PM EST,7,$307
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",11:26 AM EST,4.5,$267
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",10:44 AM EST,5,$299
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",9:26 AM EST,11.5,$307
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",7:33 AM EST,10.5,$265
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Monday, July 5, 2021",7:30 AM EST,11,$275
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",8:02 PM EST,10,$279
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",7:56 PM EST,9.5,$275
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",5:34 PM EST,9.5,$275
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",5:13 PM EST,4.5,$267
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",4:06 PM EST,13.5,$390
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",1:34 PM EST,11.5,$295
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",12:42 PM EST,4,$271
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",12:26 PM EST,9,$269
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",7:07 AM EST,13.5,$315
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",3:27 AM EST,9,$270
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",3:26 AM EST,8.5,$289
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",3:09 AM EST,10,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",2:35 AM EST,10.5,$295
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Sunday, July 4, 2021",2:05 AM EST,10.5,$295
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",11:35 PM EST,6.5,$310
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",10:32 PM EST,8.5,$287
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",8:58 PM EST,6.5,$281
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",8:45 PM EST,9,$270
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",8:14 PM EST,10,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",7:57 PM EST,9.5,$278
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",7:22 PM EST,5.5,$300
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",5:56 PM EST,14,$342
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",5:44 PM EST,13,$335
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",5:33 PM EST,5.5,$300
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",4:31 PM EST,9,$269
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",2:57 PM EST,10,$262
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",2:20 PM EST,10,$250
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",11:50 AM EST,14,$382
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",10:42 AM EST,5,$300
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Saturday, July 3, 2021",7:39 AM EST,6.5,$309
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",10:56 PM EST,9.5,$278
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",10:38 PM EST,11.5,$305
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",10:31 PM EST,10.5,$290
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",9:54 PM EST,11.5,$305
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",7:31 PM EST,12,$327
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",7:09 PM EST,4.5,$267
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",6:24 PM EST,8.5,$285
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",5:46 PM EST,11,$297
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",5:25 PM EST,12.5,$300
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",3:39 PM EST,9.5,$261
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",1:46 PM EST,8.5,$285
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",12:54 PM EST,4,$273
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",12:29 PM EST,9,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",12:20 PM EST,10,$286
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",11:57 AM EST,11,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",11:57 AM EST,11,$267
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",10:27 AM EST,12.5,$288
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",10:18 AM EST,10,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",9:43 AM EST,10,$285
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",9:16 AM EST,12,$301
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",8:33 AM EST,11.5,$305
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",4:12 AM EST,6,$310
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Friday, July 2, 2021",2:02 AM EST,10,$287
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",11:39 PM EST,9,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",11:34 PM EST,8,$274
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",10:13 PM EST,8,$281
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",7:27 PM EST,12.5,$310
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",7:07 PM EST,10.5,$295
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",6:43 PM EST,11.5,$285
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",6:43 PM EST,11.5,$285
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",5:33 PM EST,4.5,$268
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",5:12 PM EST,7.5,$260
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",5:11 PM EST,5.5,$282
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",5:10 PM EST,11,$270
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",5:01 PM EST,8.5,$268
adidas Yeezy 500 Enflame,ADI-ADY5EEE,"Thursday, July 1, 2021",3:33 PM EST,7,$308
