name,ticker,date,time,size,price
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, July 6, 2021",6:50 PM EST,8,$217
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, July 6, 2021",12:06 PM EST,12,$235
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, July 6, 2021",11:36 AM EST,13,$275
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, July 5, 2021",12:09 AM EST,10.5,$259
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, July 5, 2021",9:47 PM EST,8.5,$124
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, July 5, 2021",11:49 AM EST,9.5,$226
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, July 5, 2021",8:23 AM EST,9,$131
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Sunday, July 4, 2021",6:02 AM EST,12,$284
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, July 3, 2021",11:16 PM EST,10,$250
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Friday, July 2, 2021",11:33 PM EST,5,$180
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Friday, July 2, 2021",1:57 PM EST,8.5,$230
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, July 1, 2021",10:44 PM EST,9,$244
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, July 1, 2021",4:46 PM EST,10.5,$201
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, July 1, 2021",1:17 PM EST,9.5,$225
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 30, 2021",6:13 PM EST,7,$257
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 30, 2021",9:26 AM EST,10.5,$247
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 29, 2021",11:01 PM EST,12,$283
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 29, 2021",7:46 PM EST,5,$125
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 29, 2021",1:57 AM EST,14,$220
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 28, 2021",11:00 PM EST,6.5,$265
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 28, 2021",9:11 AM EST,10,$216
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, June 26, 2021",4:56 PM EST,14,$270
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, June 26, 2021",2:47 PM EST,9.5,$257
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Friday, June 25, 2021",11:10 PM EST,9,$210
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Friday, June 25, 2021",5:36 PM EST,12,$250
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 23, 2021",11:00 PM EST,7,$245
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 23, 2021",3:15 PM EST,10.5,$221
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 23, 2021",10:06 AM EST,12,$281
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 23, 2021",2:57 AM EST,11.5,$225
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 22, 2021",11:19 PM EST,13,$285
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 22, 2021",2:45 PM EST,13,$245
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 22, 2021",1:32 PM EST,14,$265
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 22, 2021",5:14 AM EST,9,$230
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 21, 2021",5:38 PM EST,5.5,$255
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 21, 2021",5:37 PM EST,12,$283
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 21, 2021",7:36 AM EST,10.5,$236
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Sunday, June 20, 2021",11:58 AM EST,7,$235
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, June 17, 2021",5:39 PM EST,5.5,$240
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, June 17, 2021",2:10 PM EST,10.5,$270
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 16, 2021",11:48 PM EST,13,$289
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 16, 2021",6:24 PM EST,8.5,$217
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 16, 2021",5:58 PM EST,5.5,$232
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 16, 2021",5:08 PM EST,13,$201
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 15, 2021",10:28 PM EST,10,$229
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 15, 2021",5:09 PM EST,10,$226
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 15, 2021",3:15 AM EST,9,$250
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 15, 2021",1:30 AM EST,13,$295
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 14, 2021",11:10 PM EST,10.5,$257
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Sunday, June 13, 2021",12:20 AM EST,12.5,$288
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Sunday, June 13, 2021",1:22 PM EST,11,$265
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, June 12, 2021",2:47 PM EST,6.5,$303
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Friday, June 11, 2021",9:11 PM EST,6.5,$285
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, June 10, 2021",11:08 AM EST,11.5,$269
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, June 10, 2021",3:36 AM EST,8,$214
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 9, 2021",10:15 AM EST,14,$315
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 8, 2021",1:56 PM EST,10.5,$262
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 8, 2021",10:34 AM EST,12,$150
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 7, 2021",5:38 PM EST,8.5,$200
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, June 7, 2021",11:09 AM EST,12,$218
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, June 5, 2021",10:03 PM EST,10.5,$260
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, June 5, 2021",3:51 PM EST,9,$250
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, June 5, 2021",8:23 AM EST,11,$243
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, June 3, 2021",9:03 PM EST,7,$251
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 2, 2021",9:10 PM EST,11,$250
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 2, 2021",6:07 PM EST,6.5,$269
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 2, 2021",11:25 AM EST,9.5,$241
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, June 2, 2021",1:07 AM EST,10,$279
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Tuesday, June 1, 2021",11:13 AM EST,11,$284
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Monday, May 31, 2021",11:42 AM EST,13,$295
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, May 29, 2021",6:59 PM EST,12,$320
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Saturday, May 29, 2021",11:32 AM EST,5.5,$220
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Friday, May 28, 2021",2:26 AM EST,10,$285
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, May 27, 2021",3:21 PM EST,7.5,$268
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Thursday, May 27, 2021",9:48 AM EST,4,$224
adidas Yeezy 500 High Mist Slate,ADI-ADY5HMSMM,"Wednesday, May 26, 2021",11:02 PM EST,4,$210
