name,ticker,date,time,size,price
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, July 6, 2021",3:53 PM EST,10,$220
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, July 6, 2021",2:05 PM EST,11,$188
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, July 6, 2021",1:54 PM EST,10,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, July 6, 2021",12:57 PM EST,13,$252
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, July 6, 2021",12:05 PM EST,11.5,$250
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, July 5, 2021",12:26 AM EST,10.5,$190
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, July 5, 2021",9:27 PM EST,10.5,$181
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, July 5, 2021",1:22 PM EST,8,$197
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, July 5, 2021",3:30 AM EST,5.5,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, July 4, 2021",10:44 PM EST,6.5,$202
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, July 4, 2021",9:25 PM EST,13,$252
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, July 3, 2021",10:41 PM EST,9.5,$225
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, July 3, 2021",2:28 PM EST,10,$224
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, July 3, 2021",2:04 AM EST,9.5,$225
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, July 2, 2021",11:03 PM EST,6,$210
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, July 2, 2021",9:11 PM EST,9.5,$186
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, July 2, 2021",3:05 PM EST,9.5,$219
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, July 2, 2021",11:14 AM EST,13,$191
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, July 1, 2021",9:18 PM EST,8.5,$204
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, July 1, 2021",8:24 PM EST,6.5,$185
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, July 1, 2021",3:26 PM EST,10.5,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, July 1, 2021",12:46 PM EST,8.5,$202
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, July 1, 2021",11:26 AM EST,13,$240
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, July 1, 2021",10:43 AM EST,5,$167
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, July 1, 2021",10:07 AM EST,9.5,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 30, 2021",6:05 PM EST,7,$249
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 30, 2021",3:04 PM EST,10.5,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 30, 2021",4:55 AM EST,9.5,$249
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 29, 2021",9:15 PM EST,10,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 29, 2021",2:28 PM EST,11,$230
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 29, 2021",12:41 PM EST,9,$218
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 29, 2021",11:04 AM EST,10.5,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 28, 2021",6:45 PM EST,8.5,$160
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 28, 2021",1:03 PM EST,8.5,$185
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 28, 2021",11:25 AM EST,10,$194
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 28, 2021",10:53 AM EST,11.5,$254
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 28, 2021",6:06 AM EST,8.5,$172
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 27, 2021",10:28 PM EST,10,$171
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 27, 2021",5:14 PM EST,14.5,$292
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 27, 2021",11:29 AM EST,8,$175
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 27, 2021",9:37 AM EST,6,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 27, 2021",9:24 AM EST,13,$253
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 26, 2021",10:18 PM EST,8,$195
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 26, 2021",7:55 PM EST,15,$275
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 26, 2021",5:32 PM EST,12,$234
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 26, 2021",2:12 PM EST,9.5,$209
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 26, 2021",2:28 AM EST,10,$224
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 26, 2021",1:01 AM EST,6.5,$201
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",10:14 PM EST,10.5,$195
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",9:20 PM EST,9.5,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",4:22 PM EST,8,$151
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",4:13 PM EST,10,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",4:12 PM EST,8.5,$161
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",2:24 PM EST,10,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",2:23 PM EST,9,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 25, 2021",2:48 AM EST,12,$220
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 24, 2021",12:33 PM EST,12.5,$249
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 24, 2021",12:25 PM EST,8.5,$161
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 24, 2021",9:51 AM EST,10.5,$213
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 24, 2021",1:05 AM EST,10.5,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 23, 2021",12:25 AM EST,10.5,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 23, 2021",10:38 PM EST,6.5,$202
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 23, 2021",12:05 PM EST,13,$253
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 23, 2021",11:34 AM EST,5.5,$216
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 22, 2021",12:07 AM EST,13,$253
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 22, 2021",9:15 PM EST,5,$169
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 22, 2021",8:28 PM EST,10.5,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 22, 2021",7:27 PM EST,7.5,$235
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",12:16 AM EST,12,$225
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",12:15 AM EST,12,$215
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",12:15 AM EST,10.5,$211
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",12:14 AM EST,9,$221
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",12:14 AM EST,6.5,$202
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",12:13 AM EST,5,$172
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",4:50 PM EST,8.5,$210
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 21, 2021",11:13 AM EST,11,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 20, 2021",10:48 PM EST,8.5,$189
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 20, 2021",5:27 PM EST,10,$227
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 20, 2021",10:26 AM EST,11.5,$245
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 19, 2021",4:21 PM EST,5.5,$130
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 19, 2021",11:28 AM EST,9.5,$239
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 19, 2021",11:06 AM EST,9.5,$192
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 19, 2021",1:45 AM EST,9.5,$199
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 18, 2021",8:46 PM EST,12,$224
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 18, 2021",4:55 PM EST,6.5,$202
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 18, 2021",11:47 AM EST,6.5,$202
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 18, 2021",6:42 AM EST,13,$245
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 17, 2021",3:38 PM EST,11,$229
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 17, 2021",1:26 PM EST,10,$170
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 17, 2021",10:07 AM EST,12,$187
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 17, 2021",8:58 AM EST,8.5,$160
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 17, 2021",5:57 AM EST,11,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 17, 2021",5:56 AM EST,10,$175
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 17, 2021",2:32 AM EST,14,$284
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 16, 2021",6:42 PM EST,7,$251
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 16, 2021",11:17 AM EST,10.5,$159
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",11:40 PM EST,12,$225
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",9:40 PM EST,11,$229
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",9:23 PM EST,13,$254
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",5:11 PM EST,10.5,$175
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",11:49 AM EST,9.5,$198
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",11:08 AM EST,11,$191
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",9:41 AM EST,10.5,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 15, 2021",8:05 AM EST,7.5,$215
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",11:48 PM EST,9.5,$194
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",11:04 PM EST,5,$170
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",9:12 PM EST,11.5,$254
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",9:02 PM EST,9.5,$191
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",7:20 PM EST,9.5,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",6:41 PM EST,11,$205
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",6:41 PM EST,10.5,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",6:40 PM EST,10,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",6:39 PM EST,10,$184
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",6:39 PM EST,9,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",6:38 PM EST,8,$152
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",4:02 PM EST,9.5,$189
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",3:07 PM EST,11,$236
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 14, 2021",9:57 AM EST,8,$152
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 13, 2021",8:54 PM EST,12,$225
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 13, 2021",7:49 PM EST,9.5,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 13, 2021",7:37 PM EST,11.5,$235
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 13, 2021",7:31 PM EST,10,$240
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 13, 2021",3:47 PM EST,11,$235
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 13, 2021",12:24 PM EST,13,$255
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 12, 2021",7:57 AM EST,5,$169
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 12, 2021",7:32 AM EST,8,$155
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 12, 2021",7:31 AM EST,8,$160
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",4:37 PM EST,8.5,$209
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",1:44 PM EST,9,$189
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",11:09 AM EST,11.5,$220
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",11:02 AM EST,11,$230
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",8:58 AM EST,10,$220
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",7:46 AM EST,10.5,$195
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",5:23 AM EST,9,$183
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 11, 2021",3:11 AM EST,12,$215
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",11:03 PM EST,15,$275
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",7:49 PM EST,9.5,$191
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",5:51 PM EST,12,$214
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",5:11 PM EST,5,$150
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",4:54 PM EST,8.5,$160
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",4:15 PM EST,7,$155
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",12:58 PM EST,10.5,$170
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 10, 2021",12:58 PM EST,11.5,$182
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",12:53 AM EST,6.5,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",12:24 AM EST,10,$181
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",9:42 PM EST,9,$152
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",8:26 PM EST,9,$153
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",8:26 PM EST,9.5,$160
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",8:24 PM EST,8.5,$165
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",8:24 PM EST,9,$165
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",5:13 PM EST,9,$188
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",1:58 PM EST,12,$220
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",1:48 PM EST,8,$165
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",1:40 PM EST,6,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Wednesday, June 9, 2021",8:20 AM EST,10,$182
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",10:20 PM EST,13.5,$235
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",9:49 PM EST,14,$301
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",8:04 PM EST,9.5,$170
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",3:29 PM EST,9.5,$160
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",2:41 PM EST,9,$181
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",10:45 AM EST,10,$195
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",7:59 AM EST,9,$158
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",7:26 AM EST,11.5,$213
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",2:54 AM EST,9.5,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Tuesday, June 8, 2021",1:39 AM EST,9.5,$179
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",10:28 PM EST,9,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",8:56 PM EST,5,$175
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",8:48 PM EST,11.5,$191
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",4:20 PM EST,9,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",12:35 PM EST,9.5,$167
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",10:53 AM EST,4.5,$175
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",9:36 AM EST,15,$275
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",8:39 AM EST,9.5,$167
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",6:42 AM EST,8.5,$160
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",6:05 AM EST,11.5,$181
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",6:04 AM EST,8.5,$170
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Monday, June 7, 2021",5:55 AM EST,8.5,$180
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",11:43 PM EST,7,$212
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",4:32 PM EST,8,$195
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",12:50 PM EST,14,$225
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",8:22 AM EST,6.5,$115
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",8:20 AM EST,10.5,$171
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",8:19 AM EST,9.5,$159
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",8:16 AM EST,6.5,$116
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",8:11 AM EST,11,$207
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",8:10 AM EST,11,$193
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Sunday, June 6, 2021",2:52 AM EST,8.5,$188
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 5, 2021",7:33 PM EST,5.5,$249
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 5, 2021",5:26 PM EST,11,$219
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 5, 2021",2:08 PM EST,11,$218
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 5, 2021",11:10 AM EST,9.5,$179
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 5, 2021",6:55 AM EST,7,$152
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 5, 2021",6:51 AM EST,7,$155
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Saturday, June 5, 2021",3:20 AM EST,13.5,$208
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",11:33 PM EST,8,$179
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",6:24 PM EST,12,$212
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",5:45 PM EST,10,$215
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",4:39 PM EST,9,$150
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",4:39 PM EST,8.5,$185
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",2:43 PM EST,8,$190
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",2:07 PM EST,10,$211
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",1:05 PM EST,12,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",12:09 PM EST,8.5,$236
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",2:46 AM EST,11,$211
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",1:19 AM EST,10,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Friday, June 4, 2021",1:04 AM EST,12,$229
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 3, 2021",10:03 PM EST,9.5,$195
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 3, 2021",8:05 PM EST,7,$210
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 3, 2021",7:40 PM EST,10.5,$229
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 3, 2021",7:25 PM EST,12,$195
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 3, 2021",7:06 PM EST,12,$200
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 3, 2021",12:35 PM EST,11.5,$176
adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,"Thursday, June 3, 2021",11:44 AM EST,10.5,$171
