name,ticker,date,time,size,price
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, July 6, 2021",2:22 PM EST,13,$190
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, July 6, 2021",2:06 PM EST,9.5,$200
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, July 6, 2021",2:01 PM EST,10,$172
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, July 6, 2021",4:19 AM EST,11,$215
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, July 6, 2021",1:04 AM EST,5,$213
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, July 5, 2021",11:18 PM EST,6,$240
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, July 5, 2021",6:36 PM EST,10.5,$218
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, July 5, 2021",1:50 AM EST,6,$230
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Sunday, July 4, 2021",9:17 PM EST,10.5,$202
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Sunday, July 4, 2021",5:53 PM EST,9,$222
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Sunday, July 4, 2021",4:38 PM EST,8.5,$217
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Sunday, July 4, 2021",6:10 AM EST,8,$180
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Sunday, July 4, 2021",5:28 AM EST,8.5,$217
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Saturday, July 3, 2021",10:37 PM EST,8.5,$175
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Saturday, July 3, 2021",3:20 PM EST,7,$279
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Friday, July 2, 2021",12:13 AM EST,8.5,$216
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Friday, July 2, 2021",7:44 PM EST,9,$185
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Friday, July 2, 2021",4:07 PM EST,11,$231
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Friday, July 2, 2021",11:14 AM EST,13,$210
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Thursday, July 1, 2021",10:54 PM EST,7.5,$285
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Thursday, July 1, 2021",4:29 PM EST,7,$270
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Thursday, July 1, 2021",10:46 AM EST,11,$238
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Thursday, July 1, 2021",10:08 AM EST,6,$160
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Thursday, July 1, 2021",1:16 AM EST,9,$210
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Thursday, July 1, 2021",1:15 AM EST,7,$269
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Wednesday, June 30, 2021",10:10 PM EST,9.5,$218
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Wednesday, June 30, 2021",12:56 PM EST,9.5,$218
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Wednesday, June 30, 2021",10:01 AM EST,11.5,$270
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Wednesday, June 30, 2021",1:19 AM EST,8.5,$215
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Wednesday, June 30, 2021",1:12 AM EST,12,$221
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, June 29, 2021",5:56 PM EST,7,$269
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, June 29, 2021",5:41 PM EST,11,$220
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, June 29, 2021",10:54 AM EST,9.5,$200
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, June 29, 2021",10:38 AM EST,11,$238
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Tuesday, June 29, 2021",5:07 AM EST,9,$200
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, June 28, 2021",11:35 PM EST,5.5,$235
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, June 28, 2021",11:22 PM EST,9,$221
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, June 28, 2021",9:38 PM EST,10.5,$210
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, June 28, 2021",7:46 PM EST,8,$220
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, June 28, 2021",1:08 PM EST,10.5,$226
adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,"Monday, June 28, 2021",11:28 AM EST,11,$238
