name,ticker,date,time,size,price
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Tuesday, July 6, 2021",8:57 PM EST,12,$280
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Tuesday, July 6, 2021",11:03 AM EST,11.5,$270
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Tuesday, July 6, 2021",4:35 AM EST,10,$250
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Monday, July 5, 2021",2:03 PM EST,13,$285
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Sunday, July 4, 2021",11:17 PM EST,9,$200
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Saturday, July 3, 2021",12:43 AM EST,9,$240
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Saturday, July 3, 2021",2:48 AM EST,9.5,$211
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Friday, July 2, 2021",10:03 PM EST,11.5,$235
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Friday, July 2, 2021",3:16 PM EST,7,$289
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Friday, July 2, 2021",9:17 AM EST,9.5,$211
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Tuesday, June 29, 2021",12:10 AM EST,10,$237
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Tuesday, June 29, 2021",10:23 AM EST,7.5,$216
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Tuesday, June 29, 2021",4:24 AM EST,13,$282
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Monday, June 28, 2021",10:00 AM EST,9.5,$200
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Monday, June 28, 2021",10:00 AM EST,7.5,$200
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Sunday, June 27, 2021",7:45 PM EST,11.5,$292
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Sunday, June 27, 2021",11:31 AM EST,10,$214
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Sunday, June 27, 2021",10:24 AM EST,9,$243
adidas Yeezy 500 High Shale Warm,ADI-ADY5HWWW,"Saturday, June 26, 2021",3:42 PM EST,9,$225
