name,ticker,date,time,size,price
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",6:15 PM EST,9.5,$231
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",5:57 PM EST,8,$240
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",5:53 PM EST,8,$240
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",5:53 PM EST,11.5,$269
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",5:53 PM EST,11.5,$248
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",5:10 PM EST,9,$235
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",5:02 PM EST,9.5,$231
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:54 PM EST,10,$220
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:32 PM EST,11.5,$238
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:31 PM EST,11.5,$225
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:29 PM EST,8,$240
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:24 PM EST,9.5,$231
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:20 PM EST,10.5,$237
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:03 PM EST,9.5,$230
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",4:00 PM EST,12,$234
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",3:41 PM EST,10,$233
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",3:19 PM EST,12.5,$235
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",3:18 PM EST,7.5,$259
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",3:17 PM EST,11.5,$230
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",3:09 PM EST,11,$230
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",3:08 PM EST,6,$300
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",3:07 PM EST,13,$242
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",2:27 PM EST,12.5,$230
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",2:25 PM EST,11.5,$232
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",2:21 PM EST,9,$227
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",2:21 PM EST,9,$225
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",2:14 PM EST,7.5,$258
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",1:51 PM EST,6.5,$295
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",1:46 PM EST,7.5,$281
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",1:30 PM EST,11,$266
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",1:28 PM EST,9.5,$231
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",1:24 PM EST,10,$234
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",1:05 PM EST,13,$243
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",12:44 PM EST,5.5,$290
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",11:56 AM EST,12,$235
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",11:41 AM EST,5.5,$330
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",11:19 AM EST,5,$298
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",11:13 AM EST,11,$232
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",11:05 AM EST,10,$248
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",11:04 AM EST,9.5,$223
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",10:48 AM EST,11,$232
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",10:27 AM EST,11,$231
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",10:25 AM EST,8,$240
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",10:16 AM EST,11,$231
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",10:12 AM EST,10.5,$262
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",9:54 AM EST,11,$230
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",9:37 AM EST,11,$230
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",9:15 AM EST,9,$267
adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,"Tuesday, July 6, 2021",8:17 AM EST,8.5,$244
