name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",6:14 PM EST,6.5,$410
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",4:11 PM EST,10.5,$331
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",1:51 PM EST,7.5,$399
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",1:43 PM EST,12,$344
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",12:34 PM EST,8,$353
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",12:13 PM EST,11,$325
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",11:39 AM EST,8.5,$360
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",11:32 AM EST,8.5,$363
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",10:31 AM EST,9.5,$330
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",10:07 AM EST,10,$315
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",9:36 AM EST,10,$403
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",6:57 AM EST,10,$402
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Tuesday, July 6, 2021",5:12 AM EST,8.5,$386
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",12:55 AM EST,8,$352
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",11:58 PM EST,10.5,$409
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",11:04 PM EST,13,$350
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",8:45 PM EST,9,$359
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",6:51 PM EST,7.5,$375
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",5:29 PM EST,6.5,$404
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",5:19 PM EST,4.5,$465
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",5:16 PM EST,5.5,$415
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",4:41 PM EST,11,$324
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",4:38 PM EST,10.5,$333
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",4:07 PM EST,6.5,$374
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",4:02 PM EST,10.5,$395
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",3:27 PM EST,10.5,$381
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",3:26 PM EST,6.5,$381
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",3:25 PM EST,7,$462
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",11:59 AM EST,7,$472
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",10:46 AM EST,10.5,$320
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",10:42 AM EST,9.5,$392
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",9:46 AM EST,8,$391
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",9:03 AM EST,11,$323
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",8:47 AM EST,12,$373
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",7:23 AM EST,7,$441
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",7:18 AM EST,9,$357
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",5:54 AM EST,11.5,$392
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",5:53 AM EST,5.5,$429
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",4:46 AM EST,10.5,$319
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",4:36 AM EST,8.5,$381
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Monday, July 5, 2021",1:26 AM EST,12,$403
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",10:35 PM EST,7,$415
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",5:06 PM EST,9,$334
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",4:46 PM EST,10,$398
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",4:06 PM EST,5.5,$399
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",3:47 PM EST,4,$540
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",3:18 PM EST,8.5,$404
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",2:24 PM EST,7.5,$423
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",12:37 PM EST,11.5,$364
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",11:43 AM EST,5,$438
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",10:31 AM EST,8.5,$362
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",10:29 AM EST,5.5,$450
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",8:17 AM EST,10.5,$404
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",5:55 AM EST,9.5,$404
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",5:54 AM EST,9.5,$403
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",2:59 AM EST,11,$320
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Sunday, July 4, 2021",2:15 AM EST,13,$335
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",12:08 AM EST,11.5,$360
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",10:55 PM EST,5.5,$398
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",10:19 PM EST,9,$355
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",9:01 PM EST,8.5,$350
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",7:48 PM EST,11,$310
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",2:07 PM EST,10,$332
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",2:02 PM EST,10,$332
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",1:56 PM EST,11.5,$390
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",1:29 PM EST,11.5,$330
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",1:28 PM EST,9,$335
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",1:03 PM EST,5.5,$399
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",12:15 PM EST,9.5,$397
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",12:10 PM EST,5.5,$398
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",12:09 PM EST,5.5,$398
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",12:03 PM EST,9.5,$392
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",12:01 PM EST,8.5,$349
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",8:53 AM EST,4.5,$429
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",8:14 AM EST,10,$392
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",6:41 AM EST,8,$353
adidas Yeezy Boost 700 V2 Cream,ADI-ADY7VCCC,"Saturday, July 3, 2021",4:28 AM EST,10.5,$334
