name,ticker,date,time,size,price
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",6:07 PM EST,11,$265
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",5:54 PM EST,5.5,$236
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",5:32 PM EST,13.5,$349
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",4:26 PM EST,10.5,$259
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",4:13 PM EST,9.5,$272
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",3:45 PM EST,16,$362
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",3:26 PM EST,11,$260
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",3:05 PM EST,9.5,$283
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",3:02 PM EST,7,$297
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",2:59 PM EST,8,$267
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",2:42 PM EST,10.5,$236
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",2:23 PM EST,8,$266
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",2:20 PM EST,11,$259
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",2:16 PM EST,8.5,$260
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",1:38 PM EST,10.5,$249
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",1:14 PM EST,10.5,$241
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",12:51 PM EST,5,$265
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",12:13 PM EST,8.5,$268
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",11:24 AM EST,11,$244
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",10:24 AM EST,7.5,$282
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",9:51 AM EST,7.5,$285
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",9:28 AM EST,12,$291
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",8:59 AM EST,7.5,$273
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",4:01 AM EST,6.5,$296
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",3:44 AM EST,10.5,$230
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",3:44 AM EST,6.5,$261
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Tuesday, July 6, 2021",3:16 AM EST,8.5,$261
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",12:26 AM EST,12,$274
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",12:17 AM EST,9.5,$264
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",11:40 PM EST,8.5,$274
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",11:14 PM EST,9.5,$254
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",10:59 PM EST,12,$294
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",10:42 PM EST,11,$256
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",9:34 PM EST,10.5,$258
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",9:26 PM EST,10,$247
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",9:18 PM EST,4.5,$259
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",8:57 PM EST,7,$281
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",8:52 PM EST,11,$255
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",8:51 PM EST,7,$281
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",8:46 PM EST,12,$270
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",8:28 PM EST,6.5,$265
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",8:19 PM EST,11.5,$261
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",6:07 PM EST,9.5,$282
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",6:05 PM EST,8,$269
adidas Yeezy 700 V3 Kyanite,ADI-ADY7VKKK,"Monday, July 5, 2021",5:32 PM EST,8.5,$268
