name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",6:45 PM EST,10,$290
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",5:31 PM EST,12,$279
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",5:15 PM EST,7,$518
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",4:56 PM EST,10,$280
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",4:42 PM EST,10.5,$280
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",4:19 PM EST,11,$275
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",2:37 PM EST,6,$330
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",2:09 PM EST,10.5,$268
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",12:31 PM EST,11.5,$300
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",11:31 AM EST,11.5,$320
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",10:54 AM EST,6,$357
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",10:15 AM EST,12,$415
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",8:06 AM EST,10.5,$272
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",5:09 AM EST,9,$303
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",4:43 AM EST,5.5,$353
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Tuesday, July 6, 2021",1:07 AM EST,8.5,$321
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",12:22 AM EST,9,$414
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",11:51 PM EST,11.5,$333
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",11:23 PM EST,7,$349
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",9:56 PM EST,7.5,$316
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",4:09 PM EST,14,$290
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",2:43 PM EST,5,$334
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",1:45 PM EST,11,$275
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",11:17 AM EST,10,$255
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",9:22 AM EST,8.5,$344
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Monday, July 5, 2021",1:25 AM EST,11,$278
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Sunday, July 4, 2021",4:49 PM EST,12,$315
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Sunday, July 4, 2021",1:37 PM EST,6.5,$374
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Sunday, July 4, 2021",12:18 PM EST,10,$288
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Sunday, July 4, 2021",11:26 AM EST,11,$265
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Sunday, July 4, 2021",11:09 AM EST,8,$321
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Sunday, July 4, 2021",9:23 AM EST,9,$421
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Saturday, July 3, 2021",6:05 PM EST,11,$256
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Saturday, July 3, 2021",1:55 PM EST,8.5,$340
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Saturday, July 3, 2021",7:35 AM EST,9.5,$410
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Saturday, July 3, 2021",3:17 AM EST,11.5,$330
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",11:07 PM EST,9.5,$292
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",10:25 PM EST,8,$344
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",9:51 PM EST,12,$318
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",8:43 PM EST,6,$359
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",3:22 PM EST,10,$287
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",3:19 PM EST,10.5,$275
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",2:12 PM EST,9,$298
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",12:07 PM EST,7,$375
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",11:38 AM EST,5.5,$360
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",9:44 AM EST,10,$397
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",9:39 AM EST,10,$275
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",7:10 AM EST,5.5,$327
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Friday, July 2, 2021",3:52 AM EST,7.5,$322
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Thursday, July 1, 2021",12:50 AM EST,10.5,$295
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Thursday, July 1, 2021",9:34 PM EST,10.5,$295
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Thursday, July 1, 2021",8:54 PM EST,10.5,$293
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Thursday, July 1, 2021",8:20 PM EST,7.5,$303
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Thursday, July 1, 2021",8:05 PM EST,6,$355
adidas Yeezy Boost 350 V2 Ash Blue,ADI-ADYADHBLU,"Thursday, July 1, 2021",7:15 PM EST,12,$299
