name,ticker,date,time,size,price
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",6:40 PM EST,9,$203
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",5:41 PM EST,13,$230
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",5:09 PM EST,4,$218
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",4:52 PM EST,6.5,$252
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",4:52 PM EST,10,$215
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",4:27 PM EST,9,$272
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",3:35 PM EST,7.5,$265
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",2:22 PM EST,8,$235
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",1:58 PM EST,10,$220
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",1:29 PM EST,10.5,$242
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",1:23 PM EST,11,$239
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",1:03 PM EST,12,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",11:53 AM EST,10,$227
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",11:47 AM EST,8.5,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",6:28 AM EST,10,$286
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",6:22 AM EST,10.5,$245
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",3:06 AM EST,11.5,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",2:38 AM EST,9,$240
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",2:09 AM EST,6,$236
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",1:53 AM EST,11.5,$265
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",1:36 AM EST,6,$268
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Tuesday, July 6, 2021",1:22 AM EST,8,$265
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",12:12 AM EST,8.5,$295
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",11:35 PM EST,14,$300
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",10:08 PM EST,10,$230
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",8:55 PM EST,7.5,$246
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",8:55 PM EST,7.5,$297
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",8:49 PM EST,13,$245
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",8:42 PM EST,6,$265
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",7:32 PM EST,9,$237
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",7:11 PM EST,8,$291
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",5:25 PM EST,8.5,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",5:21 PM EST,6.5,$273
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",4:07 PM EST,9.5,$248
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",3:17 PM EST,10,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",2:54 PM EST,5,$241
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",2:02 PM EST,9,$268
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",1:59 PM EST,8.5,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",1:56 PM EST,9.5,$248
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",1:47 PM EST,10,$240
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",12:47 PM EST,13,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",12:35 PM EST,11,$249
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",12:06 PM EST,6.5,$260
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",11:15 AM EST,10,$225
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",11:12 AM EST,9.5,$225
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",10:50 AM EST,6.5,$267
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",10:12 AM EST,8,$269
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",7:51 AM EST,8.5,$294
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",7:37 AM EST,10.5,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",5:15 AM EST,9.5,$226
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Monday, July 5, 2021",2:19 AM EST,5,$243
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",8:10 PM EST,5.5,$250
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",8:00 PM EST,9.5,$240
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",6:50 PM EST,11,$230
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",6:00 PM EST,10,$240
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",5:15 PM EST,8.5,$245
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",4:54 PM EST,5.5,$248
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",4:51 PM EST,6,$305
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",4:48 PM EST,10.5,$267
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",3:24 PM EST,10,$226
adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,"Sunday, July 4, 2021",2:33 PM EST,10,$235
