name,ticker,date,time,size,price
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",4:03 PM EST,7.5,$264
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",4:01 PM EST,12,$229
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",3:39 PM EST,12,$224
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",3:22 PM EST,11,$215
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",3:20 PM EST,11,$216
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",12:22 PM EST,9.5,$200
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",11:17 AM EST,11,$195
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",3:57 AM EST,10,$190
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Tuesday, July 6, 2021",2:51 AM EST,11.5,$234
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",10:17 PM EST,11,$215
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",8:58 PM EST,6.5,$160
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",7:46 PM EST,12,$207
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",5:53 PM EST,8.5,$200
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",2:23 PM EST,5,$202
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",2:17 PM EST,12.5,$363
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",10:02 AM EST,11,$190
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Monday, July 5, 2021",8:41 AM EST,8.5,$203
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Sunday, July 4, 2021",4:26 PM EST,11,$210
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Sunday, July 4, 2021",1:14 PM EST,10,$237
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Sunday, July 4, 2021",12:01 PM EST,9,$210
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",9:05 PM EST,8,$265
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",8:19 PM EST,9.5,$215
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",8:06 PM EST,10,$200
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",6:01 PM EST,11.5,$230
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",5:18 PM EST,6,$243
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",4:32 PM EST,9.5,$215
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",2:48 PM EST,6,$248
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",1:41 PM EST,7.5,$246
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",12:43 PM EST,8.5,$235
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",12:40 PM EST,13,$226
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Saturday, July 3, 2021",2:48 AM EST,12,$210
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Friday, July 2, 2021",10:37 PM EST,13,$250
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Friday, July 2, 2021",10:04 PM EST,7,$236
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Friday, July 2, 2021",2:50 PM EST,10,$198
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Friday, July 2, 2021",1:46 PM EST,12.5,$277
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Friday, July 2, 2021",11:04 AM EST,9.5,$161
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",12:01 AM EST,9,$172
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",8:38 PM EST,12,$215
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",6:00 PM EST,8,$200
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",11:52 AM EST,7.5,$235
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",8:04 AM EST,7.5,$247
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",5:46 AM EST,7.5,$228
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",5:19 AM EST,9.5,$195
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",3:04 AM EST,11,$210
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Thursday, July 1, 2021",1:33 AM EST,6.5,$193
adidas Yeezy Boost 380 Covellite,ADI-ADYB3CCC,"Wednesday, June 30, 2021",5:25 PM EST,9.5,$185
