name,ticker,date,time,size,price
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, July 6, 2021",3:57 PM EST,9.5,$263
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, July 6, 2021",2:34 PM EST,10,$187
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, July 6, 2021",9:35 AM EST,9,$185
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, July 5, 2021",4:38 PM EST,9.5,$200
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, July 5, 2021",3:43 PM EST,9,$199
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, July 5, 2021",2:53 PM EST,5,$275
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, July 5, 2021",12:25 PM EST,8,$240
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, July 5, 2021",7:55 AM EST,10.5,$210
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, July 5, 2021",4:46 AM EST,8,$236
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Sunday, July 4, 2021",8:12 PM EST,7.5,$270
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Sunday, July 4, 2021",2:20 PM EST,13,$244
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Sunday, July 4, 2021",4:15 AM EST,7.5,$298
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",6:54 PM EST,11.5,$264
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",6:37 PM EST,9,$199
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",3:35 PM EST,8,$236
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",3:04 PM EST,10,$187
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",2:40 PM EST,10,$224
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",10:59 AM EST,11,$244
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",10:23 AM EST,6.5,$314
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",6:53 AM EST,10,$210
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",5:23 AM EST,11.5,$320
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Saturday, July 3, 2021",5:23 AM EST,11.5,$317
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Friday, July 2, 2021",1:04 PM EST,8.5,$195
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Friday, July 2, 2021",11:02 AM EST,5.5,$241
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Friday, July 2, 2021",7:58 AM EST,7.5,$229
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Friday, July 2, 2021",3:28 AM EST,9.5,$201
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",12:28 AM EST,6,$239
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",11:32 PM EST,9,$196
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",9:37 PM EST,4.5,$290
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",7:06 PM EST,10,$220
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",6:29 PM EST,13,$211
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",1:20 PM EST,11,$210
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",11:19 AM EST,9,$196
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Thursday, July 1, 2021",11:06 AM EST,7.5,$230
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",6:14 PM EST,13,$243
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",5:58 PM EST,8.5,$235
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",3:30 PM EST,13,$230
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",3:25 PM EST,8.5,$201
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",3:13 PM EST,8.5,$206
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",2:20 PM EST,8,$234
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",11:36 AM EST,11,$193
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",11:12 AM EST,10,$211
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",9:59 AM EST,10.5,$191
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",9:52 AM EST,13,$225
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Wednesday, June 30, 2021",8:42 AM EST,9.5,$237
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",11:00 PM EST,7.5,$234
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",9:32 PM EST,11,$200
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",8:35 PM EST,10.5,$183
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",8:20 PM EST,11,$175
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",7:53 PM EST,11,$193
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",6:23 PM EST,9.5,$221
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",5:48 PM EST,12,$235
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",5:38 PM EST,9,$210
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",11:21 AM EST,10,$225
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",5:39 AM EST,5,$363
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",5:18 AM EST,8.5,$236
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Tuesday, June 29, 2021",2:07 AM EST,6.5,$277
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, June 28, 2021",7:21 PM EST,9.5,$208
adidas Yeezy Boost 380 Mist,ADI-ADYB3MMM,"Monday, June 28, 2021",5:28 PM EST,11.5,$230
