name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Wednesday, July 7, 2021",1:03 AM EST,13K,$315
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Tuesday, July 6, 2021",5:09 PM EST,2.5Y,$399
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Thursday, July 1, 2021",10:26 AM EST,3.5Y,$463
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Sunday, June 27, 2021",2:15 PM EST,3Y,$345
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Saturday, June 26, 2021",11:15 AM EST,2.5Y,$410
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Thursday, June 17, 2021",1:42 AM EST,3.5Y,$484
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Wednesday, June 16, 2021",5:01 PM EST,2.5Y,$415
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Tuesday, June 8, 2021",10:55 AM EST,11K,$403
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Monday, June 7, 2021",9:44 PM EST,10.5K,$349
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Monday, June 7, 2021",1:11 PM EST,3.5Y,$327
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Monday, June 7, 2021",10:43 AM EST,1.5Y,$240
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Saturday, June 5, 2021",7:44 PM EST,2Y,$445
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Friday, June 4, 2021",10:34 AM EST,2.5Y,$408
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Friday, June 4, 2021",7:46 AM EST,2Y,$395
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Sunday, May 30, 2021",1:26 PM EST,2Y,$355
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Wednesday, May 26, 2021",12:09 AM EST,2.5Y,$350
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Tuesday, May 25, 2021",5:07 PM EST,3.5Y,$426
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Monday, May 24, 2021",1:10 PM EST,2.5Y,$336
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Sunday, May 23, 2021",5:23 PM EST,2Y,$300
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Saturday, May 22, 2021",5:31 PM EST,11K,$400
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Friday, May 21, 2021",4:50 PM EST,12K,$225
adidas Yeezy Boost 350 V2 Ash Pearl (Kids),ADI-ADYB3VAAA,"Friday, May 21, 2021",9:20 AM EST,1Y,$343
