name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Tuesday, July 6, 2021",8:20 PM EST,8K,$212
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Monday, July 5, 2021",12:26 AM EST,8.5K,$273
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Sunday, July 4, 2021",8:40 PM EST,10K,$205
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Tuesday, June 29, 2021",5:59 PM EST,9K,$297
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Sunday, June 27, 2021",5:54 PM EST,8K,$306
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Sunday, June 27, 2021",5:53 PM EST,7K,$275
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Sunday, June 27, 2021",3:54 PM EST,6K,$250
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Sunday, June 27, 2021",3:53 PM EST,9.5K,$237
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Thursday, June 24, 2021",9:50 PM EST,5K,$240
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Tuesday, June 22, 2021",7:30 PM EST,5.5K,$229
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Tuesday, June 22, 2021",12:32 PM EST,9K,$180
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Thursday, June 17, 2021",11:30 AM EST,10K,$251
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Thursday, June 17, 2021",11:28 AM EST,8.5K,$251
adidas Yeezy Boost 350 V2 Ash Pearl (Infant),ADI-ADYB3VAAI,"Sunday, June 13, 2021",10:11 AM EST,9K,$342
