name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",5:58 PM EST,10.5,$270
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",5:53 PM EST,10.5,$273
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",5:30 PM EST,9.5,$270
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",4:34 PM EST,6,$370
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",4:13 PM EST,5.5,$368
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",3:16 PM EST,8.5,$299
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",2:21 PM EST,8,$320
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",2:19 PM EST,5,$357
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",2:18 PM EST,9,$291
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",2:11 PM EST,10,$245
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",2:02 PM EST,7,$326
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",1:55 PM EST,9,$282
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",1:16 PM EST,11.5,$263
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",11:52 AM EST,9.5,$311
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",10:41 AM EST,7.5,$339
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",10:29 AM EST,8.5,$280
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",10:28 AM EST,4,$375
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",10:27 AM EST,10,$306
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",10:15 AM EST,8,$316
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",10:14 AM EST,5.5,$376
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",9:47 AM EST,6,$402
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",9:42 AM EST,6.5,$372
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",9:26 AM EST,8,$308
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",9:20 AM EST,7.5,$322
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",9:05 AM EST,5.5,$376
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",8:21 AM EST,10,$297
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",8:20 AM EST,9.5,$308
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",8:01 AM EST,7.5,$299
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",7:47 AM EST,7,$361
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",6:52 AM EST,11.5,$275
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",5:04 AM EST,10.5,$267
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",4:30 AM EST,10,$288
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",3:05 AM EST,7.5,$320
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",2:46 AM EST,11.5,$255
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Tuesday, July 6, 2021",2:15 AM EST,6.5,$386
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",11:04 PM EST,13.5,$305
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",10:24 PM EST,10.5,$268
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",10:14 PM EST,9,$290
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",9:47 PM EST,9.5,$271
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",8:23 PM EST,11,$271
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",7:56 PM EST,10,$281
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",6:41 PM EST,8,$290
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",6:37 PM EST,11,$280
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",6:07 PM EST,11,$285
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",4:56 PM EST,9,$315
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:44 PM EST,8,$310
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:42 PM EST,6,$428
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:42 PM EST,6,$427
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:41 PM EST,6.5,$409
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:40 PM EST,6.5,$389
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:08 PM EST,8.5,$289
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",2:27 PM EST,8,$280
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",2:16 PM EST,5.5,$363
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",2:16 PM EST,10,$255
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",2:14 PM EST,11,$280
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",12:35 PM EST,4.5,$321
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",12:10 PM EST,6,$373
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",12:03 PM EST,9,$316
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",12:02 PM EST,7,$365
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",11:58 AM EST,10.5,$261
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",11:55 AM EST,9,$285
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",11:08 AM EST,10.5,$269
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",10:31 AM EST,12,$269
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",8:31 AM EST,7,$360
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",8:28 AM EST,10,$269
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",7:22 AM EST,12.5,$306
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",5:49 AM EST,9,$308
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",4:58 AM EST,4.5,$367
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",4:33 AM EST,13.5,$226
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:12 AM EST,8,$271
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",3:09 AM EST,5.5,$416
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Monday, July 5, 2021",1:52 AM EST,12,$269
adidas Yeezy Boost 350 V2 Ash Pearl,ADI-ADYB3VAP,"Sunday, July 4, 2021",10:23 PM EST,8,$315
