name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",6:36 PM EST,9,$319
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",3:24 PM EST,11,$326
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",2:55 PM EST,11.5,$322
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",2:53 PM EST,9.5,$306
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",1:17 PM EST,10,$293
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",1:08 PM EST,5.5,$334
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",10:29 AM EST,12,$295
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",9:29 AM EST,10,$298
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",9:15 AM EST,9,$310
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",7:48 AM EST,9.5,$272
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",7:17 AM EST,10.5,$292
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",6:55 AM EST,8,$350
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Tuesday, July 6, 2021",5:15 AM EST,5.5,$337
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",8:03 PM EST,5,$357
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",6:20 PM EST,7.5,$328
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",5:50 PM EST,12,$342
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",5:41 PM EST,8.5,$281
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",5:40 PM EST,12.5,$351
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",5:34 PM EST,12,$341
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",3:43 PM EST,11.5,$297
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",3:17 PM EST,7,$344
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",1:32 PM EST,9,$309
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",12:44 PM EST,8.5,$317
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",11:39 AM EST,11,$302
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",10:59 AM EST,9.5,$310
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",10:47 AM EST,11.5,$321
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",10:40 AM EST,6.5,$373
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",9:29 AM EST,12,$327
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",9:12 AM EST,13.5,$375
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",9:11 AM EST,12,$321
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",7:10 AM EST,7,$372
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Monday, July 5, 2021",4:53 AM EST,9.5,$327
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",8:46 PM EST,8.5,$307
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",5:53 PM EST,8.5,$283
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",4:30 PM EST,9.5,$326
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",2:07 PM EST,12.5,$340
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",2:00 PM EST,9.5,$309
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",12:24 PM EST,11,$309
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",12:13 PM EST,9.5,$307
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",12:04 PM EST,8.5,$285
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",9:43 AM EST,8,$350
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",8:29 AM EST,9.5,$304
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",6:35 AM EST,8,$345
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",3:13 AM EST,5.5,$368
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",2:02 AM EST,11,$326
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Sunday, July 4, 2021",1:51 AM EST,6,$367
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",9:24 PM EST,7.5,$367
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",8:28 PM EST,8,$362
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",8:04 PM EST,11,$316
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",4:20 PM EST,9,$303
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",1:28 PM EST,9,$305
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",11:52 AM EST,11.5,$304
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",11:14 AM EST,12,$341
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",10:59 AM EST,6,$367
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",10:37 AM EST,9.5,$327
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",9:12 AM EST,10,$298
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",6:05 AM EST,10.5,$296
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",5:01 AM EST,11.5,$303
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",1:55 AM EST,14,$420
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Saturday, July 3, 2021",1:39 AM EST,7,$370
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",9:45 PM EST,12.5,$332
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",8:38 PM EST,10,$300
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",6:21 PM EST,5.5,$314
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",3:57 PM EST,11,$275
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",3:22 PM EST,6.5,$372
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",1:13 PM EST,8.5,$307
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",12:42 PM EST,11,$308
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",11:19 AM EST,12,$308
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",9:19 AM EST,6.5,$394
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",7:57 AM EST,12,$319
adidas Yeezy Boost 350 V2 Ash Stone,ADI-ADYB3VAST,"Friday, July 2, 2021",7:18 AM EST,9,$307
