name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Tuesday, July 6, 2021",4:03 PM EST,3.5Y,$606
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Tuesday, June 29, 2021",12:16 AM EST,3.5Y,$546
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Sunday, June 27, 2021",5:03 PM EST,2Y,$458
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Sunday, June 27, 2021",5:01 PM EST,2Y,$458
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, June 24, 2021",10:30 PM EST,2.5Y,$554
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, June 24, 2021",12:23 PM EST,12K,$215
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, June 24, 2021",1:07 AM EST,1Y,$451
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Tuesday, June 22, 2021",7:22 AM EST,11.5K,$352
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Saturday, June 19, 2021",5:07 PM EST,11K,$425
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Monday, June 7, 2021",12:51 PM EST,2.5Y,$551
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Sunday, June 6, 2021",2:20 AM EST,3.5Y,$600
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Friday, June 4, 2021",10:32 PM EST,3Y,$490
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Wednesday, June 2, 2021",9:59 PM EST,11K,$427
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Tuesday, June 1, 2021",5:55 AM EST,13.5K,$340
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Saturday, May 29, 2021",10:53 PM EST,12K,$558
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Friday, May 28, 2021",11:45 AM EST,3Y,$579
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Friday, May 28, 2021",11:36 AM EST,3Y,$565
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, May 27, 2021",8:49 PM EST,3Y,$603
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, May 27, 2021",11:37 AM EST,12K,$559
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, May 27, 2021",7:20 AM EST,13.5K,$396
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Wednesday, May 19, 2021",10:32 AM EST,3.5Y,$624
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, May 13, 2021",5:36 PM EST,2Y,$499
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Wednesday, May 12, 2021",7:11 AM EST,13.5K,$443
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Sunday, May 9, 2021",7:40 PM EST,2.5Y,$495
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Monday, May 3, 2021",3:57 PM EST,12K,$400
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, April 29, 2021",7:35 PM EST,3.5Y,$606
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Thursday, April 29, 2021",2:36 PM EST,2Y,$480
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Wednesday, April 28, 2021",11:55 PM EST,3.5Y,$584
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Wednesday, April 28, 2021",11:03 PM EST,2Y,$424
adidas Yeezy Boost 350 V2 Black Red (Kids),ADI-ADYB3VBBB,"Tuesday, April 27, 2021",12:13 PM EST,13.5K,$430
