name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",5:55 PM EST,6.5,$317
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",5:27 PM EST,9,$299
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",5:20 PM EST,7,$317
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",5:03 PM EST,8.5,$306
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",5:01 PM EST,9,$299
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",4:44 PM EST,10.5,$414
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",4:33 PM EST,5,$261
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",4:23 PM EST,12,$341
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",4:16 PM EST,11,$291
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",4:10 PM EST,11,$313
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",3:53 PM EST,10,$308
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",3:44 PM EST,11.5,$323
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",3:23 PM EST,8.5,$305
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",3:02 PM EST,11,$313
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",2:41 PM EST,8,$305
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",2:21 PM EST,6.5,$316
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",2:20 PM EST,9,$299
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",2:12 PM EST,10.5,$293
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",2:11 PM EST,5.5,$280
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",2:00 PM EST,11.5,$324
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",2:00 PM EST,11.5,$324
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",1:32 PM EST,9,$299
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",1:24 PM EST,6.5,$315
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",1:08 PM EST,6.5,$315
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",1:03 PM EST,12,$340
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",12:55 PM EST,5,$257
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",12:54 PM EST,4.5,$241
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",12:50 PM EST,5.5,$281
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",12:05 PM EST,7,$294
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",11:35 AM EST,8.5,$307
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",11:11 AM EST,12,$341
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",11:05 AM EST,9.5,$292
adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,"Tuesday, July 6, 2021",10:15 AM EST,8.5,$287
