name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",4:05 PM EST,9.5,$223
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",2:35 PM EST,10,$218
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",2:20 PM EST,13,$311
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",2:02 PM EST,12,$269
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",1:40 PM EST,9,$238
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",12:31 PM EST,7.5,$267
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",11:47 AM EST,10,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",11:18 AM EST,14,$302
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",8:39 AM EST,9.5,$312
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",8:15 AM EST,8.5,$231
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",7:51 AM EST,9,$234
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",6:12 AM EST,5,$372
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",1:54 AM EST,7.5,$266
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Tuesday, July 6, 2021",1:13 AM EST,12,$250
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",12:47 AM EST,12,$263
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",11:59 PM EST,7.5,$267
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",11:46 PM EST,12,$249
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",11:44 PM EST,8.5,$250
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",11:06 PM EST,5,$282
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:54 PM EST,12,$250
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:18 PM EST,5.5,$277
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:14 PM EST,10,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:12 PM EST,8,$255
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",9:22 PM EST,7.5,$267
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",9:00 PM EST,11,$237
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",8:50 PM EST,10.5,$234
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",8:17 PM EST,11,$237
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:56 PM EST,5,$273
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:54 PM EST,7.5,$267
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:38 PM EST,11,$248
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:17 PM EST,7.5,$247
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:07 PM EST,9,$238
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",6:38 PM EST,7,$285
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",6:27 PM EST,12,$250
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",5:42 PM EST,7,$285
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",5:17 PM EST,5.5,$277
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",3:57 PM EST,10.5,$234
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",3:37 PM EST,8,$255
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",2:13 PM EST,11.5,$248
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",2:11 PM EST,7.5,$257
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",2:09 PM EST,8,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",2:07 PM EST,6.5,$318
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",2:06 PM EST,5.5,$270
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",1:58 PM EST,7.5,$267
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",1:45 PM EST,5.5,$276
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",12:38 PM EST,11,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",12:04 PM EST,7,$276
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",11:31 AM EST,6,$292
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:51 AM EST,12,$230
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:50 AM EST,7,$278
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:47 AM EST,9.5,$244
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",10:24 AM EST,6,$294
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:43 AM EST,5,$354
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:24 AM EST,7.5,$262
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",7:13 AM EST,8.5,$242
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",4:04 AM EST,9.5,$235
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",2:40 AM EST,10.5,$234
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Monday, July 5, 2021",1:53 AM EST,11,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",11:47 PM EST,13,$302
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",11:46 PM EST,13,$303
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",10:41 PM EST,9,$238
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",10:41 PM EST,6,$293
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",10:40 PM EST,7,$287
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",10:30 PM EST,6.5,$326
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",10:03 PM EST,8.5,$220
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",8:55 PM EST,10.5,$245
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",8:40 PM EST,8.5,$250
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",5:34 PM EST,6.5,$322
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",4:36 PM EST,10,$238
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",3:58 PM EST,14,$313
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",3:05 PM EST,11,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",3:03 PM EST,11,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",3:03 PM EST,10.5,$234
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",3:02 PM EST,9,$238
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",3:02 PM EST,7,$287
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",2:52 PM EST,11,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",1:19 PM EST,13,$307
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",12:25 PM EST,12,$251
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",12:17 PM EST,9.5,$236
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",12:15 PM EST,10,$235
adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,"Sunday, July 4, 2021",12:15 PM EST,10,$235
