name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",5:52 PM EST,10.5,$268
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",5:39 PM EST,9,$250
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",5:33 PM EST,13,$288
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:41 PM EST,10.5,$371
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:41 PM EST,13,$298
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:28 PM EST,13,$296
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:28 PM EST,6,$280
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:26 PM EST,6,$282
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:17 PM EST,9,$262
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:16 PM EST,13.5,$291
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:07 PM EST,10,$255
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:07 PM EST,9,$260
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",4:04 PM EST,9,$260
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:56 PM EST,9.5,$267
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:54 PM EST,7,$295
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:50 PM EST,11.5,$284
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:45 PM EST,6.5,$315
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:42 PM EST,10.5,$252
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:41 PM EST,12.5,$287
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:32 PM EST,6,$293
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:24 PM EST,6,$293
adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,"Tuesday, July 6, 2021",3:23 PM EST,6,$292
