name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",5:52 PM EST,6.5,$265
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",5:09 PM EST,11,$228
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",5:03 PM EST,11,$235
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",4:55 PM EST,8.5,$237
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",4:48 PM EST,6.5,$283
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",4:34 PM EST,12,$283
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",4:20 PM EST,4,$200
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",3:33 PM EST,10.5,$238
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",3:05 PM EST,10,$236
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",2:19 PM EST,12,$251
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",2:07 PM EST,4.5,$257
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",12:22 PM EST,4.5,$200
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",12:09 PM EST,8,$210
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",11:39 AM EST,9,$235
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",11:38 AM EST,11.5,$237
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",11:37 AM EST,9.5,$247
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",11:35 AM EST,9,$241
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",10:38 AM EST,10.5,$258
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",10:23 AM EST,5.5,$263
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",10:18 AM EST,10.5,$260
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",9:34 AM EST,9,$242
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",8:56 AM EST,11.5,$238
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",8:47 AM EST,10,$228
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",7:59 AM EST,6.5,$270
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",7:36 AM EST,9.5,$252
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",7:29 AM EST,13,$271
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",6:56 AM EST,10.5,$261
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",4:37 AM EST,5.5,$261
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",3:47 AM EST,7.5,$271
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",2:46 AM EST,9.5,$244
adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,"Tuesday, July 6, 2021",1:37 AM EST,5,$271
