name,ticker,date,time,size,price
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Tuesday, July 6, 2021",8:18 PM EST,9.5,$235
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Tuesday, July 6, 2021",2:12 PM EST,10.5,$181
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Monday, July 5, 2021",9:15 PM EST,9.5,$185
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Monday, July 5, 2021",11:53 AM EST,9,$152
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Sunday, July 4, 2021",7:08 AM EST,13,$337
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Saturday, July 3, 2021",10:22 PM EST,13,$200
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Saturday, July 3, 2021",11:23 AM EST,10,$180
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Friday, July 2, 2021",10:59 PM EST,8.5,$200
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Friday, July 2, 2021",5:55 PM EST,8,$170
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Thursday, July 1, 2021",2:54 PM EST,13,$242
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Thursday, July 1, 2021",2:53 PM EST,8,$194
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Thursday, July 1, 2021",2:33 PM EST,9.5,$195
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Tuesday, June 29, 2021",9:06 PM EST,6,$151
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Tuesday, June 29, 2021",9:05 PM EST,10,$182
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Tuesday, June 29, 2021",6:39 PM EST,11,$215
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Sunday, June 27, 2021",11:50 AM EST,9.5,$204
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Saturday, June 26, 2021",1:29 AM EST,9,$180
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Friday, June 25, 2021",7:55 AM EST,13,$312
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Thursday, June 24, 2021",3:19 PM EST,13,$287
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Wednesday, June 23, 2021",8:48 AM EST,8,$198
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Monday, June 21, 2021",12:19 AM EST,5.5,$170
adidas Yeezy 500 High Tyrian,ADI-ADYB3VOBKWG,"Monday, June 21, 2021",12:18 AM EST,10,$210
