name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",5:50 PM EST,9,$240
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",5:26 PM EST,9,$256
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",5:10 PM EST,6.5,$314
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",4:27 PM EST,9.5,$302
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",3:22 PM EST,8.5,$298
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:57 PM EST,8.5,$297
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:56 PM EST,14.5,$198
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:50 PM EST,12,$236
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:50 PM EST,12,$240
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:11 PM EST,11.5,$265
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:01 PM EST,8,$260
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:00 PM EST,6,$313
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",2:00 PM EST,8,$265
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:55 PM EST,5.5,$301
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:51 PM EST,9,$302
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:22 PM EST,11.5,$260
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:16 PM EST,10,$258
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:16 PM EST,11.5,$264
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:16 PM EST,12,$262
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:07 PM EST,11.5,$306
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",1:05 PM EST,6.5,$314
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",12:47 PM EST,12.5,$284
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",12:25 PM EST,12,$277
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",11:48 AM EST,11.5,$264
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",11:19 AM EST,10.5,$259
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",10:25 AM EST,5.5,$316
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",10:24 AM EST,9.5,$262
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",10:09 AM EST,11,$311
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",9:25 AM EST,8,$280
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",8:57 AM EST,5.5,$332
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",8:32 AM EST,9.5,$264
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",8:24 AM EST,9.5,$261
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",8:09 AM EST,9.5,$313
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",7:10 AM EST,12,$258
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",6:39 AM EST,6,$319
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",4:46 AM EST,6,$289
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",4:24 AM EST,12,$258
adidas Yeezy Boost 350 V2 Zyon,ADI-ADYB3VZZZ,"Tuesday, July 6, 2021",3:10 AM EST,11,$309
