name,ticker,date,time,size,price
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",5:06 PM EST,9.5,$315
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",4:59 PM EST,13,$425
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",2:18 PM EST,6.5,$356
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",1:09 PM EST,8,$305
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",1:09 PM EST,5,$304
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",12:23 PM EST,9.5,$307
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",12:16 PM EST,8.5,$324
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",11:41 AM EST,9,$328
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",9:31 AM EST,10,$325
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",8:51 AM EST,12,$360
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",8:35 AM EST,13,$421
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",8:35 AM EST,11,$372
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",5:06 AM EST,9,$284
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Tuesday, July 6, 2021",2:13 AM EST,9.5,$326
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",9:28 PM EST,7.5,$347
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",9:10 PM EST,11,$372
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",7:59 PM EST,12,$389
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",6:05 PM EST,11,$344
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",5:38 PM EST,4,$307
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",5:36 PM EST,10.5,$343
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",5:31 PM EST,6.5,$358
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",5:28 PM EST,10,$324
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",5:20 PM EST,8.5,$320
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",4:08 PM EST,8.5,$313
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",3:17 PM EST,11,$371
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",3:15 PM EST,6,$335
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",2:21 PM EST,6.5,$357
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",2:16 PM EST,11,$345
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",2:15 PM EST,11,$347
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",1:48 PM EST,13,$419
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",1:38 PM EST,7,$330
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",1:35 PM EST,10,$330
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",1:22 PM EST,11,$345
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",1:04 PM EST,11,$345
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",12:43 PM EST,6.5,$357
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",12:30 PM EST,11,$371
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",12:22 PM EST,15,$500
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",12:20 PM EST,10.5,$315
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",11:53 AM EST,10,$305
adidas Yeezy Boost 700 Bright Blue,ADI-ADYB7BBBO,"Monday, July 5, 2021",11:42 AM EST,11,$369
