name,ticker,date,time,size,price
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",5:40 PM EST,9.5,$280
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",5:22 PM EST,12,$329
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",4:58 PM EST,11.5,$325
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",4:48 PM EST,10,$295
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",4:43 PM EST,11.5,$331
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",4:24 PM EST,4,$293
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",4:23 PM EST,10,$294
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",4:22 PM EST,10.5,$303
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",4:11 PM EST,5,$315
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",3:31 PM EST,11,$300
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",3:17 PM EST,8.5,$290
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",3:15 PM EST,8,$285
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",3:15 PM EST,8,$287
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",2:40 PM EST,11,$300
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",2:21 PM EST,9,$298
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",2:20 PM EST,9.5,$285
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",2:17 PM EST,7,$343
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",2:13 PM EST,9.5,$284
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",1:50 PM EST,14,$332
adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,"Tuesday, July 6, 2021",1:35 PM EST,9,$298
