name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",5:41 PM EST,6,$225
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",5:41 PM EST,10,$244
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",5:38 PM EST,12,$241
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",5:37 PM EST,4.5,$206
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",5:27 PM EST,8.5,$250
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",5:22 PM EST,9.5,$246
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",5:01 PM EST,8.5,$245
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",4:29 PM EST,9.5,$246
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",3:55 PM EST,9,$225
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",3:18 PM EST,9,$225
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",3:17 PM EST,9,$226
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",3:05 PM EST,10,$230
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",3:05 PM EST,10,$226
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:41 PM EST,9.5,$245
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:39 PM EST,12,$255
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:36 PM EST,11,$259
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:35 PM EST,10,$249
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:29 PM EST,10.5,$251
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:23 PM EST,9,$230
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:11 PM EST,4.5,$207
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",1:48 PM EST,9.5,$244
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",1:36 PM EST,12,$274
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",12:32 PM EST,12.5,$279
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",12:24 PM EST,14,$300
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",11:51 AM EST,9.5,$225
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",11:34 AM EST,11,$254
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",10:25 AM EST,6.5,$240
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",10:25 AM EST,10.5,$230
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",10:23 AM EST,9,$240
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",10:20 AM EST,10,$250
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",10:04 AM EST,11,$254
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",9:58 AM EST,9.5,$220
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",9:41 AM EST,11,$258
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",9:31 AM EST,9,$232
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",9:29 AM EST,10,$248
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",9:27 AM EST,9.5,$225
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",9:22 AM EST,9,$232
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",6:36 AM EST,11,$259
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",6:12 AM EST,8,$249
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",4:11 AM EST,8.5,$271
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",4:10 AM EST,11,$251
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",2:16 AM EST,11,$226
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",1:52 AM EST,5.5,$220
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Tuesday, July 6, 2021",1:09 AM EST,9,$239
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",12:57 AM EST,6.5,$245
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",12:55 AM EST,9,$250
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",11:49 PM EST,9.5,$212
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",11:27 PM EST,7,$268
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",11:05 PM EST,11,$235
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",10:40 PM EST,6,$244
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",9:49 PM EST,6.5,$245
adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,"Monday, July 5, 2021",9:41 PM EST,8,$248
