name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, July 6, 2021",11:13 PM EST,10K,$150
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, July 6, 2021",9:42 PM EST,10K,$148
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, July 6, 2021",4:33 PM EST,10K,$138
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, July 6, 2021",8:42 AM EST,10K,$148
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Sunday, July 4, 2021",1:17 PM EST,7K,$174
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Sunday, July 4, 2021",6:49 AM EST,5K,$185
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Saturday, July 3, 2021",2:51 AM EST,10K,$139
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Friday, July 2, 2021",4:24 PM EST,5K,$225
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, June 29, 2021",9:39 PM EST,6K,$155
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, June 29, 2021",3:10 PM EST,4K,$248
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Monday, June 28, 2021",10:38 PM EST,6K,$150
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Sunday, June 27, 2021",1:08 PM EST,6K,$150
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Friday, June 25, 2021",11:13 PM EST,9K,$169
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Thursday, June 24, 2021",1:00 PM EST,7K,$170
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Thursday, June 24, 2021",4:34 AM EST,8K,$189
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Wednesday, June 23, 2021",8:56 PM EST,8K,$180
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, June 22, 2021",3:55 PM EST,5K,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Sunday, June 20, 2021",2:48 PM EST,7K,$110
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Saturday, June 19, 2021",7:46 PM EST,4K,$179
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Friday, June 18, 2021",3:58 PM EST,10K,$160
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Friday, June 18, 2021",2:59 PM EST,8K,$160
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Friday, June 18, 2021",8:28 AM EST,5K,$169
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Thursday, June 17, 2021",7:08 PM EST,8K,$181
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Wednesday, June 16, 2021",6:16 PM EST,10K,$160
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, June 15, 2021",12:07 PM EST,9K,$177
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, June 15, 2021",11:27 AM EST,10K,$205
adidas Yeezy Boost 700 MNVN Bright Cyan (Infant),ADI-ADYB7MBBI,"Tuesday, June 15, 2021",10:59 AM EST,9K,$122
