name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, July 5, 2021",6:44 PM EST,3Y,$186
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, July 5, 2021",3:50 PM EST,13.5K,$232
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, July 4, 2021",3:47 PM EST,12K,$149
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, July 4, 2021",12:39 PM EST,2Y,$165
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Saturday, July 3, 2021",5:03 PM EST,13.5K,$144
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, July 2, 2021",10:04 PM EST,2.5Y,$190
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, July 1, 2021",5:38 PM EST,1.5Y,$150
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, July 1, 2021",7:56 AM EST,2.5Y,$195
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, July 1, 2021",6:08 AM EST,12.5K,$139
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, July 1, 2021",2:12 AM EST,12K,$136
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, July 1, 2021",1:06 AM EST,3Y,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 30, 2021",3:41 PM EST,11.5K,$149
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 30, 2021",11:03 AM EST,13K,$110
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 30, 2021",9:04 AM EST,3Y,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 30, 2021",7:01 AM EST,13.5K,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 29, 2021",11:39 PM EST,13K,$210
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 29, 2021",2:56 PM EST,11K,$290
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, June 28, 2021",9:19 AM EST,1Y,$140
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, June 28, 2021",8:54 AM EST,1.5Y,$198
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 27, 2021",8:13 PM EST,2Y,$179
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 27, 2021",3:37 PM EST,13K,$190
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 27, 2021",3:59 AM EST,2.5Y,$195
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 27, 2021",3:37 AM EST,11K,$210
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Saturday, June 26, 2021",5:47 PM EST,11K,$180
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 25, 2021",11:15 PM EST,3Y,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 25, 2021",7:25 PM EST,2Y,$180
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 25, 2021",12:34 PM EST,2.5Y,$195
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 25, 2021",11:26 AM EST,3Y,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 25, 2021",8:37 AM EST,3Y,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 24, 2021",11:41 PM EST,2.5Y,$168
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 24, 2021",5:18 PM EST,10.5K,$227
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 23, 2021",11:21 PM EST,11.5K,$210
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 23, 2021",7:43 PM EST,3.5Y,$205
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 23, 2021",1:31 PM EST,1Y,$179
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 23, 2021",10:19 AM EST,3Y,$201
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 22, 2021",11:48 PM EST,3.5Y,$206
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 22, 2021",8:36 PM EST,3.5Y,$175
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 22, 2021",3:00 PM EST,2Y,$225
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 22, 2021",9:57 AM EST,11.5K,$210
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, June 21, 2021",5:38 PM EST,11.5K,$209
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, June 21, 2021",12:25 PM EST,11.5K,$199
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, June 21, 2021",9:35 AM EST,13K,$190
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 20, 2021",9:02 AM EST,12K,$238
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 20, 2021",4:09 AM EST,3.5Y,$143
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 20, 2021",2:53 AM EST,11K,$214
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Saturday, June 19, 2021",4:45 PM EST,1.5Y,$205
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Saturday, June 19, 2021",1:20 PM EST,12K,$239
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 18, 2021",11:16 PM EST,3Y,$208
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 18, 2021",7:30 PM EST,2.5Y,$150
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Friday, June 18, 2021",2:59 PM EST,2Y,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 17, 2021",12:23 AM EST,3Y,$170
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 17, 2021",12:07 AM EST,11.5K,$195
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 17, 2021",4:05 PM EST,13K,$112
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 17, 2021",4:04 PM EST,11K,$170
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 17, 2021",12:44 PM EST,1Y,$196
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Thursday, June 17, 2021",6:52 AM EST,3Y,$210
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 16, 2021",9:45 PM EST,11.5K,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 16, 2021",4:19 PM EST,1Y,$197
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 16, 2021",3:42 PM EST,3Y,$209
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Wednesday, June 16, 2021",10:25 AM EST,12.5K,$200
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 15, 2021",10:17 PM EST,12K,$242
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Tuesday, June 15, 2021",5:30 PM EST,1.5Y,$137
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, June 14, 2021",12:09 AM EST,3Y,$217
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Monday, June 14, 2021",4:01 PM EST,1Y,$199
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 13, 2021",3:53 PM EST,2Y,$209
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Sunday, June 13, 2021",11:28 AM EST,3Y,$218
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),ADI-ADYB7MBBK,"Saturday, June 12, 2021",5:07 AM EST,2Y,$209
