name,ticker,date,time,size,price
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:55 PM EST,12,$248
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:52 PM EST,10.5,$245
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:46 PM EST,10.5,$244
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:36 PM EST,11.5,$248
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:24 PM EST,8,$226
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:20 PM EST,10.5,$220
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:18 PM EST,6,$230
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:16 PM EST,9,$240
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:14 PM EST,5.5,$232
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:10 PM EST,11.5,$248
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",5:05 PM EST,10.5,$244
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",4:59 PM EST,10,$245
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",4:48 PM EST,8,$243
adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,"Tuesday, July 6, 2021",4:47 PM EST,9.5,$249
