name,ticker,date,time,size,price
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Tuesday, July 6, 2021",2:20 AM EST,11.5,$625
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Tuesday, July 6, 2021",1:36 AM EST,7,$690
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Monday, July 5, 2021",4:28 PM EST,8.5,$464
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Sunday, July 4, 2021",12:59 AM EST,10,$621
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Sunday, July 4, 2021",2:33 PM EST,10,$580
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Sunday, July 4, 2021",11:24 AM EST,9,$550
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Sunday, July 4, 2021",11:22 AM EST,9,$550
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Saturday, July 3, 2021",3:18 PM EST,11,$565
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Saturday, July 3, 2021",1:24 AM EST,11.5,$734
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Thursday, July 1, 2021",2:34 PM EST,9.5,$600
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Thursday, July 1, 2021",10:42 AM EST,7.5,$450
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Wednesday, June 30, 2021",6:52 PM EST,8,$596
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Wednesday, June 30, 2021",12:15 PM EST,8.5,$550
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Tuesday, June 29, 2021",10:38 PM EST,8.5,$549
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Tuesday, June 29, 2021",3:45 PM EST,11,$580
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Monday, June 28, 2021",7:15 PM EST,10.5,$745
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Sunday, June 27, 2021",1:03 PM EST,11,$678
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Sunday, June 27, 2021",10:29 AM EST,7,$665
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Saturday, June 26, 2021",4:58 AM EST,9.5,$600
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Friday, June 25, 2021",10:11 PM EST,10,$625
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Friday, June 25, 2021",3:17 PM EST,11,$682
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Friday, June 25, 2021",5:33 AM EST,11.5,$606
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Friday, June 25, 2021",1:31 AM EST,8.5,$517
adidas Yeezy Boost 700 Sun,ADI-ADYB7SSB,"Thursday, June 24, 2021",10:10 PM EST,8,$560
