name,ticker,date,time,size,price
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Sunday, July 4, 2021",4:59 PM EST,39,$109
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Friday, July 2, 2021",12:05 AM EST,38,$220
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Friday, July 2, 2021",5:15 AM EST,41,$200
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Thursday, July 1, 2021",3:58 PM EST,40,$275
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Wednesday, June 30, 2021",5:18 PM EST,37,$195
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Monday, June 28, 2021",11:17 PM EST,35,$172
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Sunday, June 27, 2021",10:06 PM EST,40,$250
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Sunday, June 20, 2021",6:17 PM EST,38,$230
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Wednesday, June 16, 2021",1:05 PM EST,38,$200
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Wednesday, June 16, 2021",1:04 PM EST,38,$210
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Tuesday, June 1, 2021",1:31 PM EST,39,$230
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Wednesday, May 26, 2021",12:06 PM EST,36,$250
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Wednesday, May 19, 2021",9:37 AM EST,40,$279
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Monday, April 26, 2021",11:20 AM EST,39,$225
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Monday, April 19, 2021",12:54 PM EST,39,$225
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Thursday, April 15, 2021",6:43 PM EST,38,$250
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Tuesday, April 13, 2021",12:03 PM EST,36,$195
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Saturday, April 10, 2021",1:49 PM EST,37,$300
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Thursday, April 1, 2021",11:44 PM EST,41,$300
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Wednesday, March 17, 2021",4:11 AM EST,39,$251
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Wednesday, March 10, 2021",9:29 PM EST,36,$265
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Sunday, March 7, 2021",11:41 AM EST,36,$250
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Sunday, February 28, 2021",7:12 PM EST,37,$250
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Tuesday, February 23, 2021",1:11 PM EST,38,$315
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Monday, February 22, 2021",10:52 AM EST,38,$345
adidas Yeezy Desert Boot Cinder (W),ADI-ADYDBCCC,"Friday, February 19, 2021",11:13 PM EST,38,$317
