name,ticker,date,time,size,price
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, July 6, 2021",8:31 PM EST,10.5,$318
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, July 6, 2021",3:07 PM EST,8,$305
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, July 5, 2021",6:21 PM EST,14,$450
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, July 5, 2021",4:08 PM EST,14,$350
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, July 4, 2021",12:01 PM EST,11.5,$430
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, July 4, 2021",2:07 AM EST,10,$399
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, July 2, 2021",9:22 PM EST,9.5,$318
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, July 2, 2021",8:18 PM EST,7,$270
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, July 2, 2021",7:59 PM EST,7.5,$320
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, July 1, 2021",7:20 PM EST,10,$380
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, July 1, 2021",5:18 PM EST,10.5,$338
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, July 1, 2021",9:14 AM EST,9,$313
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Wednesday, June 30, 2021",5:34 PM EST,10,$301
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 29, 2021",6:41 PM EST,6.5,$280
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 29, 2021",4:04 PM EST,10.5,$316
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 29, 2021",3:11 AM EST,8.5,$276
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 29, 2021",1:07 AM EST,9.5,$345
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 28, 2021",12:39 AM EST,5,$220
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 28, 2021",5:02 PM EST,9,$280
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 28, 2021",4:26 PM EST,14,$385
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 28, 2021",4:26 PM EST,14,$390
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 28, 2021",4:25 PM EST,13,$406
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 28, 2021",3:27 AM EST,10.5,$298
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 27, 2021",10:38 PM EST,9,$281
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 27, 2021",2:46 PM EST,9.5,$260
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 27, 2021",2:23 PM EST,7.5,$297
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 27, 2021",12:25 PM EST,10.5,$327
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 27, 2021",7:44 AM EST,13,$459
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 27, 2021",1:20 AM EST,10.5,$327
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Saturday, June 26, 2021",11:04 PM EST,13,$440
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Saturday, June 26, 2021",1:01 PM EST,9.5,$276
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 25, 2021",10:12 PM EST,10,$364
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 25, 2021",9:25 PM EST,11,$349
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 25, 2021",9:11 PM EST,10,$360
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 25, 2021",11:04 AM EST,12,$454
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 25, 2021",5:50 AM EST,12,$450
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 25, 2021",4:00 AM EST,10.5,$327
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 24, 2021",12:40 AM EST,12,$449
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 24, 2021",7:12 PM EST,5.5,$300
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 24, 2021",3:28 PM EST,5.5,$296
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 24, 2021",2:44 PM EST,11,$340
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Wednesday, June 23, 2021",10:59 PM EST,7.5,$297
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Wednesday, June 23, 2021",8:26 PM EST,8,$286
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Wednesday, June 23, 2021",6:11 PM EST,10.5,$327
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Wednesday, June 23, 2021",10:47 AM EST,7.5,$260
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",12:26 AM EST,10,$363
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",11:27 PM EST,5.5,$296
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",4:53 PM EST,9.5,$330
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",2:41 PM EST,5.5,$223
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",12:08 PM EST,10,$291
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",12:07 PM EST,10.5,$280
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",11:49 AM EST,7.5,$270
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Tuesday, June 22, 2021",8:39 AM EST,9.5,$327
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 21, 2021",11:06 PM EST,9.5,$328
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 21, 2021",8:04 PM EST,10,$345
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Monday, June 21, 2021",9:29 AM EST,8,$304
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 20, 2021",12:31 AM EST,8.5,$355
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Sunday, June 20, 2021",7:52 PM EST,7,$319
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Saturday, June 19, 2021",11:59 AM EST,6.5,$270
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 18, 2021",12:13 AM EST,10,$338
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 18, 2021",11:55 AM EST,12.5,$500
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Friday, June 18, 2021",2:47 AM EST,8,$300
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 17, 2021",10:44 PM EST,7,$319
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 17, 2021",10:20 PM EST,9,$297
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 17, 2021",4:11 PM EST,10.5,$323
adidas Yeezy Desert Boot Taupe Blue,ADI-ADYDBTBTT,"Thursday, June 17, 2021",2:23 PM EST,5.5,$240
