name,ticker,date,time,size,price
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, July 6, 2021",7:14 PM EST,7K,$215
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, July 6, 2021",2:31 PM EST,6K,$249
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, July 6, 2021",2:11 PM EST,9K,$190
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, July 6, 2021",10:18 AM EST,8K,$225
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, July 6, 2021",1:40 AM EST,3K,$151
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Monday, July 5, 2021",12:43 PM EST,6K,$228
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Sunday, July 4, 2021",12:47 PM EST,5K,$202
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Saturday, July 3, 2021",8:54 PM EST,7K,$204
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Saturday, July 3, 2021",8:16 PM EST,8K,$225
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Saturday, July 3, 2021",6:59 PM EST,8K,$180
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Saturday, July 3, 2021",4:33 PM EST,9K,$249
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, July 2, 2021",9:25 PM EST,3K,$195
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, July 2, 2021",5:32 PM EST,9K,$248
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, July 2, 2021",2:50 PM EST,5K,$200
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, July 2, 2021",3:57 AM EST,3K,$194
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Thursday, July 1, 2021",12:35 AM EST,8K,$196
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Thursday, July 1, 2021",7:53 PM EST,9K,$247
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Wednesday, June 30, 2021",6:27 PM EST,8K,$225
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Wednesday, June 30, 2021",2:19 PM EST,7K,$204
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Wednesday, June 30, 2021",10:49 AM EST,9K,$219
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Wednesday, June 30, 2021",8:46 AM EST,7K,$181
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Wednesday, June 30, 2021",4:20 AM EST,4K,$205
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, June 29, 2021",10:12 PM EST,7K,$197
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, June 29, 2021",6:35 PM EST,9K,$210
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, June 29, 2021",4:13 PM EST,8K,$224
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Tuesday, June 29, 2021",10:04 AM EST,4K,$200
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Monday, June 28, 2021",9:06 PM EST,6K,$251
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Monday, June 28, 2021",7:27 PM EST,5K,$180
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Monday, June 28, 2021",4:43 PM EST,9K,$209
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Monday, June 28, 2021",10:08 AM EST,9K,$175
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Monday, June 28, 2021",9:08 AM EST,9K,$200
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Sunday, June 27, 2021",6:32 PM EST,5K,$157
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Sunday, June 27, 2021",3:02 PM EST,7K,$170
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Saturday, June 26, 2021",2:50 PM EST,9K,$205
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Saturday, June 26, 2021",10:54 AM EST,9K,$200
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Saturday, June 26, 2021",10:28 AM EST,7K,$165
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, June 25, 2021",8:57 PM EST,5K,$181
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, June 25, 2021",5:44 PM EST,5K,$190
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, June 25, 2021",2:54 PM EST,9K,$170
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Friday, June 25, 2021",2:45 PM EST,5K,$190
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Thursday, June 24, 2021",9:37 PM EST,4K,$181
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Thursday, June 24, 2021",5:34 PM EST,5K,$189
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Thursday, June 24, 2021",2:54 PM EST,5K,$185
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Thursday, June 24, 2021",1:41 PM EST,9K,$173
adidas Yeezy Foam RNNR Mineral Blue (Infant),ADI-ADYFRMBMI,"Thursday, June 24, 2021",9:31 AM EST,7K,$200
