name,ticker,date,time,size,price
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Tuesday, July 6, 2021",5:51 PM EST,13K,$300
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Tuesday, July 6, 2021",4:23 PM EST,2Y,$224
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Tuesday, July 6, 2021",3:45 AM EST,13K,$252
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Monday, July 5, 2021",8:30 PM EST,3Y,$172
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Monday, July 5, 2021",5:12 PM EST,2Y,$221
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Monday, July 5, 2021",3:35 PM EST,12K,$262
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Monday, July 5, 2021",9:33 AM EST,12K,$234
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Sunday, July 4, 2021",2:35 PM EST,12K,$229
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Sunday, July 4, 2021",11:02 AM EST,13K,$269
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Saturday, July 3, 2021",8:41 PM EST,3Y,$190
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Saturday, July 3, 2021",4:30 PM EST,12K,$210
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Saturday, July 3, 2021",1:50 PM EST,3Y,$183
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Saturday, July 3, 2021",6:20 AM EST,3Y,$187
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Friday, July 2, 2021",12:08 AM EST,2Y,$202
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Friday, July 2, 2021",11:19 PM EST,13K,$257
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Friday, July 2, 2021",6:06 PM EST,13K,$257
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Friday, July 2, 2021",10:25 AM EST,3Y,$195
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Thursday, July 1, 2021",9:57 PM EST,3Y,$194
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Thursday, July 1, 2021",8:42 PM EST,3Y,$191
adidas Yeezy Foam RNNR Mineral Blue (Kids),ADI-ADYFRMBMK,"Thursday, July 1, 2021",7:49 PM EST,3Y,$194
