name,ticker,date,time,size,price
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",5:52 PM EST,5,$219
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",5:40 PM EST,12,$299
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",5:34 PM EST,10,$263
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",4:58 PM EST,10,$263
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",4:43 PM EST,5,$219
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",4:27 PM EST,10,$259
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",4:19 PM EST,10,$254
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",3:53 PM EST,6,$299
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",3:51 PM EST,7,$278
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",3:46 PM EST,6,$299
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",3:42 PM EST,5,$210
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",3:40 PM EST,9,$247
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",3:36 PM EST,6,$299
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",3:26 PM EST,5,$219
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",2:45 PM EST,5,$216
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",2:44 PM EST,6,$299
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",2:40 PM EST,4,$180
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",2:25 PM EST,6,$299
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",2:04 PM EST,12,$285
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",1:58 PM EST,7,$304
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",1:58 PM EST,7,$302
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",1:41 PM EST,11,$287
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",1:25 PM EST,9,$250
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",1:20 PM EST,10,$256
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",1:14 PM EST,5,$219
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",12:56 PM EST,11,$285
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",12:35 PM EST,10,$255
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",12:31 PM EST,9,$249
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",11:38 AM EST,6,$298
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",11:38 AM EST,4,$185
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",11:34 AM EST,8,$256
adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,"Tuesday, July 6, 2021",11:29 AM EST,6,$298
