name,ticker,date,time,size,price
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",6:27 PM EST,9,$360
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",5:52 PM EST,6,$431
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",2:51 PM EST,10,$373
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",1:50 PM EST,10,$389
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",1:14 PM EST,10,$376
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",12:55 PM EST,8,$386
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",10:22 AM EST,9,$343
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",10:19 AM EST,9,$338
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",8:30 AM EST,5,$360
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",7:52 AM EST,10,$377
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",4:32 AM EST,6,$430
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",4:01 AM EST,7,$430
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",2:34 AM EST,9,$366
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Tuesday, July 6, 2021",2:00 AM EST,4,$324
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",11:51 PM EST,9,$364
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",11:37 PM EST,9,$363
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",10:25 PM EST,8,$390
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",10:22 PM EST,5,$341
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",9:09 PM EST,9,$323
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",8:51 PM EST,11,$408
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",8:28 PM EST,8,$362
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",7:50 PM EST,11,$433
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",7:47 PM EST,10,$380
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",5:37 PM EST,5,$360
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",3:58 PM EST,11,$430
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",2:58 PM EST,5,$362
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",2:41 PM EST,5,$362
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",1:37 PM EST,5,$362
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",1:20 PM EST,5,$362
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",12:30 PM EST,9,$365
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",12:26 PM EST,12,$500
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",12:07 PM EST,10,$368
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",11:36 AM EST,10,$397
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",11:01 AM EST,11,$424
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",10:38 AM EST,4,$285
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",9:29 AM EST,9,$351
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",8:35 AM EST,11,$415
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",6:59 AM EST,10,$396
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",4:55 AM EST,9,$366
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Monday, July 5, 2021",1:50 AM EST,9,$365
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",12:32 AM EST,5,$362
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",9:45 PM EST,9,$363
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",9:44 PM EST,4,$324
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",6:04 PM EST,6,$435
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",5:15 PM EST,8,$389
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",4:49 PM EST,8,$389
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",4:37 PM EST,9,$363
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",4:19 PM EST,9,$350
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",2:05 PM EST,5,$362
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",1:33 PM EST,7,$448
adidas Yeezy Foam RNNR MXT Moon Gray,ADI-ADYFRMMMM,"Sunday, July 4, 2021",12:44 PM EST,8,$389
