name,ticker,date,time,size,price
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",6:14 PM EST,8,$327
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",6:13 PM EST,11,$307
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",6:02 PM EST,10,$297
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",5:24 PM EST,9,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",4:20 PM EST,12,$318
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",4:04 PM EST,15,$270
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",4:00 PM EST,5,$300
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",3:56 PM EST,13,$319
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",3:37 PM EST,10,$320
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",3:23 PM EST,12,$318
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",3:22 PM EST,11,$326
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",3:22 PM EST,7,$395
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",3:01 PM EST,7,$371
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:49 PM EST,9,$285
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:49 PM EST,9,$280
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:34 PM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:33 PM EST,7,$370
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:32 PM EST,8,$327
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:26 PM EST,12,$310
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:20 PM EST,11,$326
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:15 PM EST,9,$266
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:14 PM EST,9,$283
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:12 PM EST,10,$310
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:04 PM EST,9,$290
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:04 PM EST,9,$286
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",2:01 PM EST,8,$290
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",1:59 PM EST,5,$281
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",1:59 PM EST,5,$280
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",1:59 PM EST,14,$290
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",1:48 PM EST,12,$298
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",1:23 PM EST,6,$378
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",1:19 PM EST,7,$390
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:49 PM EST,5,$305
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:46 PM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:45 PM EST,5,$302
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:45 PM EST,10,$320
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:44 PM EST,8,$327
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:44 PM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:43 PM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:23 PM EST,5,$275
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:16 PM EST,11,$325
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:08 PM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",12:04 PM EST,13,$317
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",11:55 AM EST,7,$390
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",11:41 AM EST,9,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",11:13 AM EST,7,$390
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",11:01 AM EST,9,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",10:41 AM EST,10,$320
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",10:29 AM EST,10,$320
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",10:29 AM EST,9,$270
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",10:15 AM EST,12,$309
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",9:24 AM EST,6,$375
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",9:05 AM EST,12,$297
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",9:01 AM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",8:53 AM EST,7,$390
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",8:19 AM EST,10,$320
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",8:18 AM EST,13,$298
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",7:41 AM EST,9,$297
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",6:00 AM EST,7,$369
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",4:32 AM EST,10,$320
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",4:01 AM EST,7,$390
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",3:19 AM EST,5,$301
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Tuesday, July 6, 2021",1:00 AM EST,7,$370
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",12:57 AM EST,5,$276
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",12:43 AM EST,10,$319
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",12:32 AM EST,11,$327
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",12:26 AM EST,10,$319
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",12:00 AM EST,9,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:59 PM EST,10,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:51 PM EST,12,$313
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:43 PM EST,11,$327
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:40 PM EST,5,$302
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:37 PM EST,12,$313
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:33 PM EST,10,$318
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:31 PM EST,14,$310
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",11:14 PM EST,9,$304
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",10:20 PM EST,10,$317
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",10:20 PM EST,10,$316
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",10:20 PM EST,10,$316
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",10:19 PM EST,8,$328
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",9:55 PM EST,11,$325
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",9:21 PM EST,9,$266
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",9:17 PM EST,8,$308
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",9:03 PM EST,13,$316
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",9:03 PM EST,9,$265
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",9:01 PM EST,12,$313
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",8:39 PM EST,5,$280
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",8:31 PM EST,11,$326
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",8:19 PM EST,9,$290
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",8:16 PM EST,13,$302
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",8:11 PM EST,11,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",8:10 PM EST,5,$281
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",8:09 PM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:48 PM EST,5,$302
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:41 PM EST,7,$375
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:28 PM EST,10,$300
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:21 PM EST,9,$310
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:19 PM EST,10,$317
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:09 PM EST,7,$389
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:08 PM EST,11,$328
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",7:04 PM EST,10,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",6:51 PM EST,9,$309
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",6:42 PM EST,8,$308
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",6:26 PM EST,5,$302
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",6:25 PM EST,8,$310
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",6:23 PM EST,12,$313
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",6:16 PM EST,11,$327
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",6:03 PM EST,10,$294
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",5:47 PM EST,9,$307
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",5:40 PM EST,13,$316
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",5:25 PM EST,4,$278
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",5:09 PM EST,8,$325
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",4:45 PM EST,6,$345
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",4:41 PM EST,12,$313
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",4:31 PM EST,13,$313
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",4:25 PM EST,7,$380
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",3:28 PM EST,5,$297
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",3:23 PM EST,8,$320
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",3:22 PM EST,10,$307
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",2:33 PM EST,10,$315
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",2:22 PM EST,6,$377
adidas Yeezy Foam RNNR Sand,ADI-ADYFRSSS,"Monday, July 5, 2021",2:04 PM EST,6,$377
