name,ticker,date,time,size,price
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, July 6, 2021",5:00 PM EST,6.5,$110
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, July 6, 2021",3:20 PM EST,9,$172
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, July 6, 2021",2:41 PM EST,7.5,$122
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, July 6, 2021",2:38 PM EST,8.5,$185
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, July 5, 2021",9:46 PM EST,10,$216
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, July 5, 2021",5:32 PM EST,10,$228
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, July 5, 2021",8:41 AM EST,10.5,$168
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Sunday, July 4, 2021",12:28 AM EST,10.5,$189
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Sunday, July 4, 2021",9:55 PM EST,11.5,$210
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Sunday, July 4, 2021",9:38 AM EST,12,$201
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, July 3, 2021",11:30 PM EST,11,$210
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, July 3, 2021",9:58 PM EST,8.5,$183
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, July 3, 2021",5:03 PM EST,6.5,$107
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, July 3, 2021",5:28 AM EST,11,$268
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Friday, July 2, 2021",12:27 AM EST,13,$299
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Friday, July 2, 2021",12:18 AM EST,10,$217
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Friday, July 2, 2021",8:20 PM EST,6,$125
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Friday, July 2, 2021",3:19 PM EST,8.5,$172
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Friday, July 2, 2021",2:16 PM EST,12,$230
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Thursday, July 1, 2021",7:29 PM EST,9,$197
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Thursday, July 1, 2021",6:58 PM EST,11.5,$165
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Thursday, July 1, 2021",2:49 PM EST,17,$170
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Thursday, July 1, 2021",1:51 PM EST,13.5,$200
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Thursday, July 1, 2021",10:04 AM EST,7,$157
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Thursday, July 1, 2021",10:01 AM EST,8.5,$244
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Thursday, July 1, 2021",7:19 AM EST,11,$203
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Wednesday, June 30, 2021",9:56 PM EST,10,$223
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Wednesday, June 30, 2021",6:51 PM EST,10,$168
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Wednesday, June 30, 2021",12:24 PM EST,18,$175
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Wednesday, June 30, 2021",2:49 AM EST,9.5,$200
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, June 29, 2021",8:37 PM EST,10.5,$169
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, June 29, 2021",8:36 PM EST,10,$170
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, June 29, 2021",2:37 PM EST,13,$186
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, June 29, 2021",3:51 AM EST,4.5,$149
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Tuesday, June 29, 2021",3:39 AM EST,12,$200
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, June 28, 2021",9:50 PM EST,8.5,$183
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, June 28, 2021",9:23 PM EST,10,$174
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, June 28, 2021",5:59 PM EST,14.5,$220
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, June 28, 2021",12:50 PM EST,10,$166
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, June 28, 2021",10:18 AM EST,6.5,$139
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Monday, June 28, 2021",5:39 AM EST,8.5,$243
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Sunday, June 27, 2021",10:38 PM EST,8.5,$175
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Sunday, June 27, 2021",9:30 AM EST,11.5,$175
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Sunday, June 27, 2021",7:09 AM EST,11,$223
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, June 26, 2021",10:29 PM EST,11.5,$212
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, June 26, 2021",6:12 PM EST,10.5,$190
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, June 26, 2021",3:05 PM EST,12,$225
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, June 26, 2021",10:48 AM EST,11.5,$211
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Saturday, June 26, 2021",9:10 AM EST,11.5,$188
adidas Yeezy QNTM Barium,ADI-ADYQBBB,"Friday, June 25, 2021",6:55 PM EST,9.5,$199
