name,ticker,date,time,size,price
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, July 6, 2021",5:32 PM EST,11,$223
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, July 5, 2021",9:59 AM EST,7.5,$138
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, July 3, 2021",7:18 PM EST,9.5,$250
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, July 2, 2021",1:46 PM EST,10.5,$165
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, July 2, 2021",12:04 PM EST,9.5,$246
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, July 1, 2021",10:38 AM EST,8.5,$212
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, July 1, 2021",9:04 AM EST,9,$238
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 30, 2021",5:52 PM EST,12,$218
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 30, 2021",4:53 PM EST,11,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 29, 2021",2:09 PM EST,10.5,$190
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, June 28, 2021",9:17 PM EST,8,$160
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, June 28, 2021",6:22 PM EST,9,$215
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, June 26, 2021",5:42 PM EST,13,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, June 26, 2021",1:43 AM EST,8.5,$190
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, June 25, 2021",6:13 PM EST,7,$130
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, June 25, 2021",5:36 PM EST,13,$250
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, June 25, 2021",10:28 AM EST,12.5,$279
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 23, 2021",10:50 AM EST,8,$213
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 23, 2021",4:45 AM EST,13,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 22, 2021",9:23 PM EST,9.5,$201
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, June 21, 2021",8:28 AM EST,14,$228
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, June 20, 2021",6:28 PM EST,8.5,$215
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, June 20, 2021",3:44 PM EST,9.5,$201
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, June 19, 2021",8:49 PM EST,6.5,$158
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, June 19, 2021",3:44 PM EST,12,$214
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, June 19, 2021",2:09 PM EST,13,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, June 18, 2021",8:18 PM EST,9.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, June 17, 2021",11:59 PM EST,11,$205
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 16, 2021",5:50 PM EST,10,$189
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 16, 2021",12:02 PM EST,15,$289
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 16, 2021",3:53 AM EST,9,$165
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 16, 2021",1:25 AM EST,11,$190
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 15, 2021",8:06 PM EST,15,$289
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 15, 2021",11:44 AM EST,11.5,$181
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 15, 2021",10:10 AM EST,16,$150
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 15, 2021",9:00 AM EST,10,$181
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, June 14, 2021",10:35 AM EST,11.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, June 11, 2021",2:43 AM EST,9,$220
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, June 10, 2021",10:17 PM EST,5.5,$160
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, June 10, 2021",5:54 PM EST,11,$199
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, June 10, 2021",4:25 PM EST,10,$182
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 9, 2021",3:37 AM EST,12,$210
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 8, 2021",6:00 PM EST,10.5,$209
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 8, 2021",5:11 PM EST,14,$225
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 8, 2021",12:25 PM EST,10.5,$210
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, June 6, 2021",5:25 AM EST,12,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, June 5, 2021",11:11 PM EST,10.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, June 4, 2021",2:03 PM EST,11,$205
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, June 3, 2021",12:44 PM EST,10.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, June 2, 2021",10:46 PM EST,10.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 1, 2021",10:48 PM EST,7.5,$199
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 1, 2021",5:07 PM EST,12,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, June 1, 2021",1:03 PM EST,10.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, May 30, 2021",4:27 PM EST,10,$225
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, May 30, 2021",12:20 PM EST,10,$218
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, May 29, 2021",10:56 AM EST,11,$181
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, May 28, 2021",10:54 PM EST,10.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, May 28, 2021",1:29 PM EST,14,$195
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, May 27, 2021",9:50 AM EST,8.5,$219
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, May 26, 2021",11:07 PM EST,11,$255
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, May 26, 2021",10:23 PM EST,9.5,$210
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, May 25, 2021",9:14 PM EST,9.5,$180
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, May 25, 2021",6:25 PM EST,10.5,$190
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, May 25, 2021",2:06 PM EST,10.5,$190
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, May 25, 2021",6:52 AM EST,11,$216
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, May 24, 2021",9:40 PM EST,9,$218
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, May 24, 2021",4:16 PM EST,9,$212
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, May 24, 2021",11:25 AM EST,6.5,$130
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, May 23, 2021",9:24 PM EST,9,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, May 23, 2021",3:44 AM EST,9,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, May 22, 2021",12:56 PM EST,11.5,$235
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, May 22, 2021",12:18 PM EST,5.5,$155
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, May 22, 2021",6:19 AM EST,9,$165
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, May 21, 2021",7:34 PM EST,5,$174
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, May 21, 2021",3:26 PM EST,7,$140
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, May 20, 2021",6:01 PM EST,9.5,$205
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, May 20, 2021",12:38 PM EST,6,$160
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, May 20, 2021",9:21 AM EST,7.5,$142
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, May 20, 2021",3:41 AM EST,10,$227
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, May 19, 2021",5:08 PM EST,5.5,$155
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Wednesday, May 19, 2021",3:29 PM EST,12,$241
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, May 18, 2021",4:07 PM EST,13,$344
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, May 18, 2021",3:26 PM EST,11,$206
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Tuesday, May 18, 2021",2:35 PM EST,9,$183
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, May 17, 2021",6:34 PM EST,9.5,$190
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Monday, May 17, 2021",3:07 PM EST,10,$210
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, May 16, 2021",10:33 PM EST,13,$175
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, May 16, 2021",5:31 PM EST,10,$215
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Sunday, May 16, 2021",10:16 AM EST,7.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Saturday, May 15, 2021",7:14 PM EST,7.5,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, May 14, 2021",1:33 PM EST,9.5,$190
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, May 14, 2021",9:00 AM EST,12,$235
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Friday, May 14, 2021",7:22 AM EST,13,$200
adidas Yeezy QNTM BSKTBL Frozen Blue,ADI-ADYQBFBFF,"Thursday, May 13, 2021",4:23 PM EST,10.5,$200
