name,ticker,date,time,size,price
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Tuesday, July 6, 2021",2:06 AM EST,12,$229
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",12:29 AM EST,12,$229
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",12:25 AM EST,12,$227
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",11:45 PM EST,10,$257
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",11:31 PM EST,10.5,$159
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",8:54 PM EST,9,$151
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",8:11 PM EST,11.5,$225
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",8:03 PM EST,8.5,$202
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",8:03 PM EST,13,$251
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",5:19 AM EST,5,$109
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, July 5, 2021",4:51 AM EST,6.5,$175
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Sunday, July 4, 2021",9:04 PM EST,9.5,$204
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Sunday, July 4, 2021",7:24 PM EST,5.5,$170
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Sunday, July 4, 2021",10:14 AM EST,7,$204
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Saturday, July 3, 2021",6:17 PM EST,12.5,$270
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Saturday, July 3, 2021",2:54 PM EST,9.5,$203
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Saturday, July 3, 2021",10:48 AM EST,10,$169
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, July 2, 2021",4:26 PM EST,7.5,$190
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, July 2, 2021",3:07 PM EST,8,$140
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, July 2, 2021",1:26 PM EST,9.5,$163
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, July 2, 2021",8:48 AM EST,10,$202
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, July 2, 2021",7:51 AM EST,10,$216
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Thursday, July 1, 2021",9:19 PM EST,7,$114
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Thursday, July 1, 2021",4:43 PM EST,5,$172
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Thursday, July 1, 2021",12:56 PM EST,8.5,$142
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Thursday, July 1, 2021",12:05 PM EST,9.5,$203
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Thursday, July 1, 2021",11:52 AM EST,11,$190
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Thursday, July 1, 2021",10:03 AM EST,11.5,$226
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Thursday, July 1, 2021",1:56 AM EST,8.5,$200
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Wednesday, June 30, 2021",8:44 AM EST,9.5,$162
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Wednesday, June 30, 2021",6:34 AM EST,11,$240
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Tuesday, June 29, 2021",11:42 AM EST,6,$180
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Tuesday, June 29, 2021",10:24 AM EST,11.5,$208
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Tuesday, June 29, 2021",8:03 AM EST,14,$225
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Monday, June 28, 2021",10:21 AM EST,12,$190
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Sunday, June 27, 2021",10:36 PM EST,8.5,$141
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Sunday, June 27, 2021",4:59 PM EST,9,$171
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Sunday, June 27, 2021",1:38 PM EST,7.5,$206
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Saturday, June 26, 2021",12:14 PM EST,13,$275
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Saturday, June 26, 2021",8:27 AM EST,9,$228
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, June 25, 2021",8:42 PM EST,9.5,$200
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, June 25, 2021",7:09 PM EST,11,$220
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, June 25, 2021",7:05 PM EST,7.5,$190
adidas Yeezy QNTM Frozen Blue,ADI-ADYQFBFF,"Friday, June 25, 2021",6:42 PM EST,10,$206
