name,ticker,date,time,size,price
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, June 30, 2021",9:15 PM EST,5K,$148
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, June 30, 2021",11:28 AM EST,9.5K,$200
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, June 23, 2021",2:20 AM EST,5K,$60
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Tuesday, June 8, 2021",6:56 AM EST,7K,$218
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Friday, June 4, 2021",9:51 AM EST,8K,$200
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Sunday, May 30, 2021",11:49 PM EST,5.5K,$173
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Monday, May 24, 2021",11:58 PM EST,10K,$200
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Monday, May 24, 2021",7:37 AM EST,5K,$91
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Tuesday, May 11, 2021",8:16 PM EST,6K,$185
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, May 6, 2021",3:24 PM EST,7K,$110
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Friday, April 30, 2021",3:24 AM EST,10K,$140
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, April 29, 2021",11:53 AM EST,10K,$179
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, April 15, 2021",8:06 PM EST,6.5K,$199
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Sunday, April 11, 2021",2:16 PM EST,6K,$88
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, April 7, 2021",3:49 PM EST,8K,$147
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Tuesday, March 30, 2021",7:24 PM EST,6K,$200
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, March 17, 2021",8:06 PM EST,7K,$159
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, March 17, 2021",3:01 PM EST,7K,$159
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Sunday, March 14, 2021",4:24 PM EST,5K,$165
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Saturday, March 13, 2021",2:34 PM EST,5K,$140
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Tuesday, March 9, 2021",5:14 PM EST,7K,$79
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Saturday, February 27, 2021",8:34 PM EST,5K,$164
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Friday, February 26, 2021",2:38 PM EST,5K,$154
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Monday, February 22, 2021",3:30 PM EST,5K,$161
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Friday, February 12, 2021",4:54 AM EST,4K,$275
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, February 10, 2021",12:25 PM EST,10K,$170
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, February 10, 2021",11:07 AM EST,10K,$156
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Friday, February 5, 2021",9:19 AM EST,8K,$100
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, February 4, 2021",9:16 PM EST,10K,$130
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, February 4, 2021",8:20 AM EST,9K,$75
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, January 28, 2021",10:58 AM EST,8K,$200
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, January 27, 2021",8:21 AM EST,7.5K,$195
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, January 21, 2021",8:40 AM EST,4K,$160
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, January 7, 2021",10:46 AM EST,6K,$240
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Thursday, January 7, 2021",9:40 AM EST,8K,$161
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Monday, January 4, 2021",1:01 AM EST,6K,$250
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, December 23, 2020",12:35 AM EST,6K,$275
adidas Yeezy QNTM Frozen Blue (Infant),ADI-ADYQFBFFI,"Wednesday, December 23, 2020",12:35 AM EST,6K,$200
