name,ticker,date,time,size,price
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, July 6, 2021",2:23 PM EST,2.5Y,$106
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, July 6, 2021",6:34 AM EST,3.5Y,$126
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, June 25, 2021",11:15 AM EST,2.5Y,$204
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, June 25, 2021",11:14 AM EST,2.5Y,$202
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, June 24, 2021",9:04 PM EST,3.5Y,$249
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Wednesday, June 23, 2021",2:21 AM EST,11K,$62
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, June 13, 2021",3:43 PM EST,2.5Y,$202
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, June 10, 2021",7:34 AM EST,12K,$140
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, June 3, 2021",6:22 AM EST,3Y,$109
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, May 27, 2021",2:12 AM EST,3.5Y,$132
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, May 25, 2021",1:00 PM EST,2.5Y,$200
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, May 14, 2021",2:49 AM EST,2.5Y,$204
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, May 10, 2021",11:18 PM EST,12K,$114
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, May 10, 2021",10:11 PM EST,3.5Y,$198
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, May 2, 2021",12:39 AM EST,3.5Y,$150
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, May 2, 2021",1:16 AM EST,10.5K,$250
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, April 26, 2021",12:13 PM EST,3Y,$220
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, April 25, 2021",11:39 PM EST,12K,$198
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, April 25, 2021",8:42 PM EST,2Y,$204
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, April 18, 2021",8:11 PM EST,3Y,$215
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, April 12, 2021",7:01 PM EST,13.5K,$245
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, April 12, 2021",10:47 AM EST,3Y,$199
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, April 6, 2021",7:50 PM EST,3Y,$190
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, March 25, 2021",2:21 PM EST,2Y,$200
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, March 22, 2021",5:01 PM EST,3.5Y,$201
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, March 22, 2021",12:19 PM EST,3.5Y,$190
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, March 21, 2021",9:12 PM EST,3.5Y,$190
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Saturday, March 20, 2021",8:57 PM EST,11K,$204
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, March 18, 2021",2:41 PM EST,1.5Y,$150
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, March 18, 2021",11:28 AM EST,1Y,$199
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, March 15, 2021",6:34 PM EST,3.5Y,$189
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, March 12, 2021",6:21 PM EST,1.5Y,$150
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, March 9, 2021",5:16 PM EST,3Y,$135
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, February 12, 2021",9:39 PM EST,13K,$200
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Saturday, February 6, 2021",1:20 AM EST,2.5Y,$145
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, February 5, 2021",12:34 PM EST,3.5Y,$111
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, February 5, 2021",4:26 AM EST,12K,$130
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, February 4, 2021",11:49 PM EST,13.5K,$204
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, February 4, 2021",10:41 AM EST,13K,$150
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, February 2, 2021",11:31 PM EST,2.5Y,$120
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, February 1, 2021",12:50 AM EST,13K,$150
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, January 24, 2021",2:45 AM EST,3.5Y,$223
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Sunday, January 17, 2021",9:27 AM EST,12K,$185
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Friday, January 8, 2021",5:56 PM EST,3Y,$248
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Monday, January 4, 2021",6:01 PM EST,12K,$240
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, December 31, 2020",11:24 AM EST,3Y,$215
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Wednesday, December 30, 2020",3:26 PM EST,2.5Y,$215
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, December 29, 2020",9:03 PM EST,11K,$275
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Tuesday, December 29, 2020",8:53 PM EST,3Y,$215
adidas Yeezy QNTM Frozen Blue (Kids),ADI-ADYQFBFFK,"Thursday, December 24, 2020",4:05 PM EST,1Y,$165
