name,ticker,date,time,size,price
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, July 6, 2021",7:54 PM EST,11,$189
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, July 6, 2021",7:31 PM EST,7.5,$150
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, July 6, 2021",7:00 PM EST,9,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, July 6, 2021",5:17 PM EST,12,$165
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, July 6, 2021",8:50 AM EST,13,$210
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, July 6, 2021",5:32 AM EST,7.5,$151
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, July 6, 2021",3:55 AM EST,7,$158
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",12:28 AM EST,12,$179
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",9:25 PM EST,12.5,$180
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",8:46 PM EST,11.5,$185
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",3:55 PM EST,11,$250
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",1:26 PM EST,9.5,$189
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",11:19 AM EST,10,$172
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",8:48 AM EST,5.5,$198
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",3:27 AM EST,10.5,$190
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",2:28 AM EST,10,$171
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, July 5, 2021",2:17 AM EST,12,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, July 4, 2021",12:26 AM EST,9.5,$189
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, July 4, 2021",11:59 PM EST,13,$200
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, July 4, 2021",3:58 PM EST,10.5,$145
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, July 4, 2021",12:11 PM EST,10,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, July 4, 2021",2:28 AM EST,12,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",12:53 AM EST,11,$190
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",7:36 PM EST,11,$193
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",3:56 PM EST,9,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",3:38 PM EST,11.5,$200
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",11:19 AM EST,12,$190
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",9:31 AM EST,10,$188
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",5:33 AM EST,9.5,$188
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",5:14 AM EST,10,$170
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",2:52 AM EST,9.5,$136
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, July 3, 2021",1:58 AM EST,9,$137
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, July 2, 2021",12:17 AM EST,7,$161
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, July 2, 2021",11:22 AM EST,13.5,$240
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, July 2, 2021",11:16 AM EST,10.5,$179
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, July 2, 2021",10:56 AM EST,10.5,$190
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, July 2, 2021",10:19 AM EST,13,$200
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, July 2, 2021",4:29 AM EST,10,$172
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, July 1, 2021",9:57 PM EST,6,$145
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, July 1, 2021",8:09 PM EST,10.5,$160
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, July 1, 2021",6:46 PM EST,12,$220
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, July 1, 2021",3:01 PM EST,8,$204
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, July 1, 2021",2:05 PM EST,14,$160
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, July 1, 2021",10:59 AM EST,10.5,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",10:10 PM EST,10.5,$170
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",9:38 PM EST,10,$171
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",9:36 PM EST,8,$160
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",8:10 PM EST,12.5,$190
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",6:18 PM EST,12,$163
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",4:36 PM EST,12,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",3:19 PM EST,9,$120
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",10:13 AM EST,12,$198
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 30, 2021",1:11 AM EST,10,$172
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",10:51 PM EST,10.5,$174
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",10:10 PM EST,12,$199
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",4:46 PM EST,13,$130
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",3:14 PM EST,10.5,$170
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",1:33 PM EST,10,$130
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",1:31 PM EST,10,$132
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",12:55 PM EST,10,$151
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",12:54 PM EST,10.5,$133
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",12:51 PM EST,12,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",12:49 PM EST,11,$155
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",12:49 PM EST,10,$139
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",10:16 AM EST,13,$149
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",10:12 AM EST,11.5,$210
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",10:07 AM EST,10.5,$145
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:08 AM EST,8.5,$125
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:08 AM EST,8.5,$126
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:08 AM EST,8,$127
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:08 AM EST,7.5,$125
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:07 AM EST,7,$125
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:07 AM EST,6.5,$125
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:06 AM EST,13,$142
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:01 AM EST,10,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",7:01 AM EST,9,$138
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",6:21 AM EST,12,$223
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 29, 2021",3:09 AM EST,8.5,$156
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",9:40 PM EST,9.5,$168
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",8:10 PM EST,5.5,$174
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",7:27 PM EST,10.5,$186
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",6:03 PM EST,10,$172
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",4:12 PM EST,11,$136
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",4:10 PM EST,10.5,$135
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",1:44 PM EST,8,$137
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",12:59 PM EST,11,$142
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",12:58 PM EST,10,$141
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",8:22 AM EST,12.5,$168
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Monday, June 28, 2021",2:12 AM EST,9.5,$142
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, June 27, 2021",11:54 PM EST,10,$145
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, June 27, 2021",11:11 PM EST,10.5,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, June 27, 2021",6:14 PM EST,6.5,$120
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, June 27, 2021",6:10 PM EST,10,$191
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, June 27, 2021",3:58 PM EST,8.5,$179
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, June 27, 2021",3:22 PM EST,4.5,$100
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Sunday, June 27, 2021",3:20 PM EST,5,$104
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",7:23 PM EST,5,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",6:48 PM EST,10,$160
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",5:26 PM EST,12.5,$189
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",5:03 PM EST,11.5,$161
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",3:20 PM EST,11,$194
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",3:05 PM EST,13,$240
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",1:47 PM EST,10.5,$170
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",11:04 AM EST,11,$193
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",4:46 AM EST,8,$192
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Saturday, June 26, 2021",2:19 AM EST,10,$173
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",7:54 PM EST,10,$166
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",7:14 PM EST,7.5,$164
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",5:21 PM EST,11,$135
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",5:19 PM EST,10,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",4:54 PM EST,10,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",4:50 PM EST,11,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",4:49 PM EST,10,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",4:45 PM EST,11,$160
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",4:09 PM EST,10.5,$172
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",1:13 PM EST,9,$185
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",11:04 AM EST,11,$193
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",10:57 AM EST,10.5,$170
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",10:54 AM EST,9.5,$188
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",10:22 AM EST,8,$181
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Friday, June 25, 2021",6:12 AM EST,12,$185
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, June 24, 2021",10:11 PM EST,7,$113
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, June 24, 2021",5:49 PM EST,15,$170
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, June 24, 2021",3:08 PM EST,14,$195
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, June 24, 2021",2:55 PM EST,8.5,$174
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, June 24, 2021",1:45 PM EST,12,$182
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Thursday, June 24, 2021",11:46 AM EST,12,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",12:58 AM EST,12.5,$189
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",8:41 PM EST,13,$240
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",8:32 PM EST,13,$209
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",7:35 PM EST,14,$85
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",4:01 PM EST,10.5,$170
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",3:31 PM EST,9,$263
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",3:10 PM EST,13,$205
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",2:43 PM EST,10.5,$169
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Wednesday, June 23, 2021",9:49 AM EST,10.5,$169
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",6:38 PM EST,12,$195
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:54 PM EST,14,$142
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:36 PM EST,8.5,$185
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:29 PM EST,11,$135
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:28 PM EST,8.5,$135
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:20 PM EST,8.5,$158
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:19 PM EST,9.5,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:09 PM EST,11,$194
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",5:08 PM EST,10.5,$132
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",3:58 PM EST,14,$143
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",3:44 PM EST,11,$160
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",3:41 PM EST,10,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",3:39 PM EST,7.5,$158
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",1:41 PM EST,9,$175
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",1:29 PM EST,12,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",1:25 PM EST,8,$140
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",1:24 PM EST,10,$141
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",1:10 PM EST,8.5,$142
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",11:52 AM EST,13,$145
adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,"Tuesday, June 22, 2021",11:50 AM EST,10.5,$145
