name,ticker,date,time,size,price
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Thursday, July 1, 2021",9:38 AM EST,5.5K,$61
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, June 23, 2021",9:29 AM EST,7K,$100
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Sunday, June 20, 2021",3:03 AM EST,10K,$90
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, June 16, 2021",4:55 AM EST,9K,$91
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, June 15, 2021",12:13 PM EST,7K,$74
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, June 15, 2021",10:58 AM EST,5.5K,$75
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Friday, June 4, 2021",9:15 AM EST,7K,$122
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Thursday, May 20, 2021",5:31 PM EST,4K,$69
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, May 12, 2021",11:04 PM EST,7K,$153
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Thursday, April 29, 2021",2:31 PM EST,9K,$81
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, April 28, 2021",9:58 PM EST,8K,$146
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Sunday, April 4, 2021",10:27 PM EST,10K,$110
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Sunday, April 4, 2021",12:19 PM EST,10K,$100
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Monday, March 29, 2021",12:40 PM EST,9K,$125
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, March 23, 2021",11:33 AM EST,9K,$124
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Monday, March 22, 2021",4:43 PM EST,8K,$56
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, March 13, 2021",10:17 PM EST,7K,$139
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, March 9, 2021",2:14 AM EST,9K,$100
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Sunday, March 7, 2021",7:00 PM EST,6.5K,$50
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, March 6, 2021",3:20 PM EST,9K,$95
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Thursday, February 4, 2021",8:29 PM EST,5.5K,$135
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, January 23, 2021",9:38 AM EST,6K,$103
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Friday, January 22, 2021",8:30 AM EST,5K,$134
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, January 20, 2021",10:55 PM EST,5K,$134
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Monday, January 11, 2021",10:19 PM EST,10K,$120
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Thursday, January 7, 2021",10:34 PM EST,9K,$80
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, January 2, 2021",2:16 PM EST,9K,$85
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Sunday, December 27, 2020",11:19 PM EST,9K,$75
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, December 23, 2020",11:18 AM EST,9K,$75
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Monday, December 21, 2020",6:59 PM EST,5K,$115
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, December 15, 2020",9:08 AM EST,8K,$138
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, December 5, 2020",7:05 PM EST,8K,$120
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Monday, November 30, 2020",8:09 PM EST,4K,$160
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Monday, November 30, 2020",2:34 PM EST,9K,$87
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, November 28, 2020",8:34 PM EST,10K,$75
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Friday, November 27, 2020",12:28 PM EST,7K,$147
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, November 25, 2020",9:25 AM EST,9K,$72
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Thursday, November 19, 2020",10:41 AM EST,10K,$143
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Thursday, November 19, 2020",10:39 AM EST,10K,$142
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, November 3, 2020",1:50 PM EST,9K,$79
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, October 31, 2020",12:51 PM EST,8K,$100
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, October 31, 2020",12:26 PM EST,7K,$92
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Friday, October 30, 2020",12:02 PM EST,7.5K,$183
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, October 27, 2020",11:19 PM EST,7K,$130
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, October 27, 2020",11:18 PM EST,6.5K,$120
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Tuesday, October 27, 2020",7:01 PM EST,9.5K,$194
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Sunday, October 25, 2020",8:23 PM EST,8K,$165
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Friday, October 23, 2020",8:08 AM EST,6K,$168
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, October 17, 2020",10:09 PM EST,8K,$150
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, October 17, 2020",4:17 PM EST,10K,$150
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, October 17, 2020",10:32 AM EST,5K,$150
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Wednesday, October 14, 2020",8:19 AM EST,9K,$150
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Sunday, October 11, 2020",1:56 PM EST,10K,$150
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, October 10, 2020",6:08 PM EST,6.5K,$209
adidas Yeezy QNTM Teal Blue (Infants),ADI-ADYQOOOI,"Saturday, October 10, 2020",10:12 AM EST,10K,$250
