name,ticker,date,time,size,price
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Monday, June 28, 2021",7:45 PM EST,12.5K,$95
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Tuesday, June 22, 2021",11:27 AM EST,2Y,$185
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Thursday, June 17, 2021",6:15 PM EST,11K,$160
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Saturday, May 29, 2021",10:17 AM EST,2.5Y,$120
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Tuesday, May 18, 2021",2:30 PM EST,3.5Y,$241
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Monday, May 17, 2021",10:33 PM EST,1.5Y,$239
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Wednesday, May 5, 2021",12:23 AM EST,3.5Y,$110
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Wednesday, April 28, 2021",7:34 PM EST,13K,$112
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Sunday, April 25, 2021",10:03 PM EST,3Y,$114
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Thursday, April 15, 2021",4:51 AM EST,3Y,$140
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Wednesday, April 7, 2021",7:18 PM EST,1Y,$160
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Friday, March 26, 2021",9:59 PM EST,1Y,$160
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Thursday, March 18, 2021",7:06 PM EST,1.5Y,$179
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Monday, March 15, 2021",8:05 PM EST,13.5K,$100
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Monday, March 15, 2021",7:04 PM EST,13K,$149
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Friday, March 12, 2021",12:59 PM EST,3.5Y,$115
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Thursday, March 11, 2021",7:20 AM EST,13K,$120
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Sunday, March 7, 2021",7:00 PM EST,11K,$44
adidas Yeezy QNTM Teal Blue (Kids),ADI-ADYQOOOK,"Sunday, March 7, 2021",5:19 AM EST,2Y,$202
